ID,Title,Author,Year,Data Origin,Visual Dim,Space Scale Start,Space Scale Finish,Time Scale Start,Time Scale Finish,Level,Multi scale,Human,Phys/Anat,Survey model method tool,Exploration,Analysis,Communication,Purpose test,Purpose comment,Process,*Process,Structure,Origin,Concept,Image Name,Bibtex Authors,Abstract,Keywords,Future work,DOI,in vitaLITy?,in paper
S42,Visualization in connectomics,Pfister et al.,2014,"range of data from macro to micro: EM, microscopy, EEG, MEG, fMRI, PET, SPECT, MRI","2, 3",-9,-1,-6,-2,Organ,1,0,"Anatomy, Physiology",Survey,0.5,0.5,0,1,"highlighted visualization approaches tend to focus on directly visualizing input data for exploration, or visual analysis with abstracted data to do brain mapping or network modeling. (e.g. BrainGazer) 3D microscopy data is often visualized using Maximum Intensity Projection (MIP), which displays the maximum values along viewing rays. Direct Volume Rendering (DVR) enables better perception of spatial relationships, but has the disadvantage of added complexity, as an additional transfer function is required.",connectomics (functional and structural),,"neurons, brain",vis,"human brains are complex with an estimated 10^11 neurons with 10^15 connections; these can be imaged at 3 scales. 
At the macroscale there is a wide range of structural and functional imaging modalities, with applications in medical settings and anatomical research. Functional imaging modalities include electroencephalography (EEG), magnetoencephalography (MEG), functional magnetic resonance imaging (fMRI), and positron emission tomography (PET). Modalities such as single-photon emission computed tomography (SPECT) and magnetic resonance imaging (MRI) provide structural information on the macroscale.
mesoscale: light microscopy for structural connectome (sufficient to image single neurons),  wide-field fluorescence microscopy allow for the imaging of living cells, and computational optical sectioning microscopy techniques enable non-destructive acquisition of 3D data sets.
Microscale: electron microscopy (structural): Transmission Electron Microscopy (TEM) and Scanning Electron Microscopy (SEM)
",pfister.png,"Pfister, H.; Kaynig, V.; Botha, C.P.; Bruckner, S.; Dercksen, V.J.; Hege, H.C.; Roerdink, J.B.","Connectomics is a branch of neuroscience that attempts to create a connectome, i.e., a complete map of the neuronal system and all connections between neuronal structures. This representation can be used to understand how functional brain states emerge from their underlying anatomical structures and how dysfunction and neuronal diseases arise. We review the current state-of-the-art of visualization and image processing techniques in the field of connectomics and describe a number of challenges. After a brief summary of the biological background and an overview of relevant imaging modalities, we review current techniques to extract connectivity information from image data at macro-, meso- and microscales. We also discuss data integration and neural network modeling, as well as the visualization, analysis and comparison of brain networks.","connectomics, brain, neuroscience","""New methods to integrate connectomics data across modalities and
scales to attain the ultimate goal, a description of the human connectome, will be the
main challenge for visualization in connectomics.""",10.1007/978-1-4471-6497-5_21,n,done in brain function
S43,Survey of the Visual Exploration and Analysis of Perfusion Data,Preim et al.,2009,"DCE-MRI, CT","2, 3",-3,-1,0,0,"Tissue, Organ",0,1,Physiology,Survey,0.25,0.75,0,1,"main goal is analysis, but often an exploration component for the raw data to understand what that data look like ","Blood flow, perfusion",tissue interactions,organs,Vis,Discussion of general techniques for visual analysis of perfusion data ,preim-va-perfusion-survey.jpg,"Preim, B.; Oeltze, S.; Mlejnek, M.; Groller, E.; Hennemuth, A.; Behrens, S.","Dynamic contrast-enhanced image data (perfusion data) are used to characterize regional tissue perfusion. Perfusion data consist of a sequence of images, acquired after a contrast agent bolus is applied. Perfusion data are used for diagnostic purposes in oncology, ischemic stroke assessment or myocardial ischemia. The diagnostic evaluation of perfusion data is challenging, since the data is complex and exhibits various artifacts, e.g., motion artifacts. We provide an overview on existing methods to analyze, and visualize CT and MR perfusion data. The integrated visualization of several 2D parameter maps, the 3D visualization of parameter volumes and exploration techniques are discussed. An essential aspect in the diagnosis of perfusion data is the correlation between perfusion data and derived time-intensity curves as well as with other image data, in particular with high resolution morphologic image data. We discuss visualization support with respect to the three major application areas: ischemic stroke diagnosis, breast tumor diagnosis and the diagnosis of coronary heart disease.","Medical visualization, multiparameter visualization, volume rendering, perfusion data",--,10.1109/TVCG.2008.95,y-lower grp,done in tissue function
S44,A survey of medical animations,"Preim, Meuschke",2020,"medical imaging data (many types), simulation ",3,-3,-1,-3,0,Organ ,0,1,"Physiology, Anatomy ",Survey,0,0,1,1,discussion of medical animation mainly as a tool for communication of medical data ,"blood flow, heart beat",organ function (general),"Heart , vessels",Vis,"Discussion of animation for medical visualization, part of paper discusses dyanmic data, which can come from simulated or measured data. Focus was on cardiac physiology, blood flow, and their respective data sources, with a brief discussion of fMRI data. Also discussed functional anatomy, e.g. movements of joints and the mechanical pumping of the heart. How things like camera movements can help tell a story in animation. ",preim-anim-survey.jpg,"Preim, Bernhard; Meuschke, Monique","Animation is a potentially powerful instrument to convey complex information with movements, smooth transitions between different states that employ the strong human capabilities to perceive and interpret motion. Animation is a natural choice to display time-dependent medical image data or unsteady biomedical simulation data where the dynamic nature of the data is mapped to a kind of video. Animation, however, may also be employed for static data, e.g., to move a camera along a predefined path to convey complex anatomical structures or the spatial relations around a pathology. Clipping planes may be smoothly translated and object transparency adapted to control visibility and further support emphasis of spatial relations, e.g., around a tumor. Virtual endoscopy, where the virtual camera is moved inside an air-filled or fluid-filled structure, is a prominent example of animating static data. Animations, however, are complex visualizations that may depict a larger number of changes in a short period of time. Thus, we also consider cognitive limitations, e.g., change blindness, and discuss methods to reduce the complexity of animations. Emphasis techniques may guide the viewer’s attention and improve the perception of essential features. Finally, interaction beyond the typical video recorder functionality is considered. In this paper, we give a survey of medical animations and discuss the research potential that arises. Although we focus on medicine, the discussion of a research agenda is partially based on cartography, where animation is widely used.","animation, medical illustration",--,10.1016/j.cag.2020.06.003,n,"done, in introduction, in organ function"
S45,A Survey of Visualization for Live Cell Imaging,"Pretorius, Khan, Errington",2017,"microscopy (time lapse), image processing","2, 3",-7,-4,-3,5,Cell,0,1,Physiology ,Survey,0.5,0.5,0,1,"most efforts for visualization of live cell imaging are for domain experts to understand the data itself in most raw form, or do statistics/aggregate the data to extract patterns and infer more general behavior. ""A common goal of live cell imaging is to test and study the influence of perturbations, such as chemical compounds (also called small molecules), on cell phenotypes. "" Comparison is consistently an important task, and to as objectively as possible visualize cell behavior/dynamics",cell behavior,cell dynamics,cells,vis,"""Time-lapse microscopy captures the dynamic behaviour of cells by recording image sequences at the appropriate temporal and spatial resolution. Because manual inspection is tedious, image processing algorithms are used to derive rich descriptive phenotypic data from the images to allow for downstream analysis. A phenotype is an observable characteristic such as a physiological or behavioural property.""""
Authors for this paper collected a representative list of 28 papers that deal with visualization of live cell imaging and organized into a taxonomy according to visualization approach: spatial embedding, space-time cubes, temporal plots, aggregate visualizations, lineage diagrams, and dimension reduction. ",pretorius-survey.jpg,"Pretorius, A. J.; Khan, I. A.; Errington, R. J.","Live cell imaging is an important biomedical research paradigm for studying dynamic cellular behaviour. Although phenotypic data derived from images are difficult to explore and analyse, some researchers have successfully addressed this with visualization. Nonetheless, visualization methods for live cell imaging data have been reported in an ad hoc and fragmented fashion. This leads to a knowledge gap where it is difficult for biologists and visualization developers to evaluate the advantages and disadvantages of different visualization methods, and for visualization researchers to gain an overview of existing work to identify research priorities. To address this gap, we survey existing visualization methods for live cell imaging from a visualization research perspective for the first time. Based on recent visualization theory, we perform a structured qualitative analysis of visualization methods that includes characterizing the domain and data, abstracting tasks, and describing visual encoding and interaction design. Based on our survey, we identify and discuss research gaps that future work should address: the broad analytical context of live cell imaging; the importance of behavioural comparisons; links with dynamic data visualization; the consequences of different data modalities; shortcomings in interactive support; and, in addition to analysis, the value of the presentation of phenotypic data and insights to other stakeholders.","live cell imaging, task analysis, cell behavior","broad analytical contect of live cell image data, may to use ontologies to drive organization of visualization methods. ""In the first instance, there is scope for developing visualization methods that conform to particular ontologies. A more ambitious goal would be to develop methods that cater for an arbitrary ontology by conforming to existing ontology standards."" Researchers want to objectively understand cellular behavior, and animation or dimensionality reduction methods can overly simplify/obfuscate patterns that researchers want to actually see. ",10.1111/cgf.12784,y-lower grp,"done, in cell function intro part"
S46,An outlook into ultra-scale visualization of large-scale biological data,"Samatova, Nagiza F.; Breimyer, Paul; Hendrix, William; Schmidt, Matthew C.; Rhyne, Theresa-Marie",2008,omics,2,-10,-5,-15,0,"Molecule, Organelle, Cell",0,1,"Physiology, Anatomy",Survey,0.25,0.75,9,1,,10,,,,,,,,"Samatova, Nagiza F.; Breimyer, Paul; Hendrix, William; Schmidt, Matthew C.; Rhyne, Theresa-Marie",,10.1109/ULTRAVIS.2008.5154061,n,"done, in molecular function"
S47,Interactive visualization of biomolecules’ dynamic and complex properties,Schatz et al.,2019,simuation,"2,3",-10,-6,-15,0,Molecule,0,1,Physiology,Survey,0,1,0,1,"For the future, we project that the trend towards bigger and more complex biomolecular simulation data will continue. Therefore, novel visualization methods that can efficiently support the visual analysis of these data are necessary. ","molecular dynamics, reactions",,molecules,Vis,"state of the art review of molecular visualization that discusses key challenges. Biochemical data often bridge several length scales, from the smallest ligand molecule, consisting only of few atoms, to the largest cell comprising millions or even billions of elementary particles. Often, different representations are required to properly represent the relevant aspects of each scale, although the underlying structure, the atoms, does not change. In the context of proteins, especially their interaction with their environment is of importance. The surface of a protein forms the interface to the environment, so accurate and fast representations of these complicated shapes are required. Especially in the case of enzymes, cavities formed by the proteins’ surface are of importance. As there exists no ground truth for the detection of the cavities, new methods improving either accuracy or detection speed have to be devised. Heavy focus on visual analysis methods to be developed",--,"Schatz, Karsten; Krone, M.; Pleiss, J.; Ertl, T.","In this paper, we review the advances in molecular visualization over the last 12 years and put the development of the community in context with our own efforts in the DFG Collaborative Research Center (CRC) 716. This includes advances in the field of molecular surface computation and rendering, interactive extraction of protein cavities, and comparative visualization for biomolecules. Our main focus was on the development of methods that assist the interactive and explorative visual analysis of large, dynamic molecular data sets on single desktop computers. To meet this goal, we often developed GPU-accelerated algorithms, which is in line with the general research direction of the field. Over the last years, we made seminal contributions to the field of molecular visualization, which partially still constitute the state of the art development or provided the basis for follow-up works.","state of the art, report, survey, review",visual analysis tools to support ever increasing data complexity ,10.1140/EPJST/E2019-800162-Y,n,done in molecular function
,Visualization and analysis of molecular data,"Scholtz, Selbig",2007,omics,2,-10,-5,-15,0,"Molecule, Organelle, Cell",0,1,"Physiology, Anatomy",Survey,0.25,0.75,0,1,,1,,,,,,"Scholz, Matthias; Selbig, Joachim","This chapter provides an overview of visualization and analysis techniques applied to large-scale datasets from genomics, metabolomics, and proteomics. The aim is to reduce the number of variables (genes, metabolites, or proteins) by extracting a small set of new relevant variables, usually termed components. The advantages and disadvantages of the classical principal component analysis (PC A) are discussed and a link is given to the closely related singular value decomposition and multidimensional scaling. Special emphasis is given to the recent trend toward the use of independent component analysis, which aims to extract statistically independent components and, therefore, provides usually more meaningful components than PCA. We also discuss normalization techniques and their influence on the result of different analytical techniques.",,,10.1007/978-1-59745-244-1_6,n,done in molecule function
S48,State-of-the-Art Report: Visual Computing in Radiation Therapy Planning,Schlachter et al.,2019,"MR, CT, PET, SPECT","2, 3",-3,-1,-2,0,"Tissue, Organ",0,1,"Physiology, Anatomy",Survey,0.25,0.75,0,1,"Main goal of radiotherapy is analysis, exploration component when experts need to see raw data to understand context of the derived data, see where things go","tumor metabolism, tumor metabolic profile, tumor growth",tissue dynamics,tumor,Vis,"survey provides an overview of the compound planning process of RT, and of the ways that VC has supported RT in all its facets. We found that most of the previous work has been concentrated in the reviewing phase of the workflow, followed by the definition of tumors and healthy organs, ",schlachter.jpg,"Schlachter, M.; Raidou, R.g.; Muren, L.p.; Preim, B.; Putora, P.m.; Bühler, K.","Radiation therapy (RT) is one of the major curative approaches for cancer. It is a complex and risky treatment approach, which requires precise planning, prior to the administration of the treatment. Visual Computing (VC) is a fundamental component of RT planning, providing solutions in all parts of the process—from imaging to delivery. Despite the significant technological advancements of RT over the last decades, there are still many challenges to address. This survey provides an overview of the compound planning process of RT, and of the ways that VC has supported RT in all its facets. The RT planning process is described to enable a basic understanding in the involved data, users and workflow steps. A systematic categorization and an extensive analysis of existing literature in the joint VC/RT research is presented, covering the entire planning process. The survey concludes with a discussion on lessons learnt, current status, open challenges, and future directions in VC/RT research.","radiotherapy planning, exploratory visual analysis ","future approaches should focus on addressing adequately the maturity, complexity and efficiency of multiparametric imaging methods, and assess later whether they can be beneficial—if integrated into the RT workflow.",10.1111/cgf.13726,y-lower grp,done in tissue function
S49,"Visualizing time-related data in biology, a review","Secrier, Schneider",2014,"simulation, microarray and other omics type data",3,-10,5,-9,16,"Molecule, Organelle, Cell, Tissue, Organ, Population",1,1,Physiology,Survey,0.25,0.75,0,1,"Main focus on tools to explore results of simulations, to analyze data ",time dynamics at each level ,many,molecules up to populations,Bioinformatics,"in the field of biology, one can identify five main approaches to represent time: (i) linear representations, (ii) heat maps, (iii) circular design, (iv) tree-like diagrams and (v) layers, as depicted in the figure. Since this is a work from the field of biology, the organization mirrors this, with the focus on molecule, gene, network, cell, organism, population. One tool they mention for network vis is CellDesigner. CHALLENGES highlighted include: ""When it comes to biological systems in the context of visualization and information integration, most of the tools focus on visualizing microarray data and gene expression information, while the network context is often neglected. More in-depth analysis is largely missing especially in the case of metabolic pathways. The fact that temporal variations are present in ranges of several orders of magnitude adds another layer of complexity."" Heterogeneity of data is a challenge. At the genomic level, there is a serious absence of visualization methods for changes of the data with time. At the cell level, the ideal would be to develop a simulation tool that is able to visualize changes both at the molecular level and in the cell morphology upon perturbation.
works they cite include MizBee by MMeyer et al.",secreir-time-fig.jpeg,"Secrier, Maria; Schneider, Reinhard","Time is of the essence in biology as in so much else. For example, monitoring disease progression or the timing of developmental defects is important for the processes of drug discovery and therapy trials. Furthermore, an understanding of the basic dynamics of biological phenomena that are often strictly time regulated (e.g. circadian rhythms) is needed to make accurate inferences about the evolution of biological processes. Recent advances in technologies have enabled us to measure timing effects more accurately and in more detail. This has driven related advances in visualization and analysis tools that try to effectively exploit this data. Beyond timeline plots, notable attempts at more involved temporal interpretation have been made in recent years, but awareness of the available resources is still limited within the scientific community. Here, we review some advances in biological visualization of time-driven processes and consider how they aid data analysis and interpretation.",dynamics of processes; representations of time; visualization software,"It is harder to understand temporal changes for larger and more complex gene networks, so better tools are needed especially for upcoming time-resolved genome-wide measurements of expression. Furthermore, better visualization approaches are needed for studying phenotypic consequences of combinatorial genotypic effects in a temporal context.",10.1093/bib/bbt021,n,"in taxonomy section, in introduction section"
S50,Geometric Detection Algorithms for Cavities on Protein Surfaces in Molecular Graphics: A Survey,Simões et al.,2017,"x-ray crystallography, nmr",3,-10,-7,-3,0,Molecule,0,1,Anatomy (form follows function),Survey,0.5,0.5,0,1,"models visualized from PDB to explore shape, algorithms to process and describe morphology of cavities. "" a better understanding of the process entangled in binding proteins requires the detection of cavities on the molecular surfaces. A computational estimate of the location of such protein regions may be instrumental in improving the design of new drugs, before initiating any experimental laboratory work in the drug discovery process. For that purpose, many algorithms for predicting and identifying protein cavities have been developed so far.""","molecular dynamics (shape of cavity focus here, not interactions so much)",,"molecule, molecular cavities",Visualization,"survey the literature on protein cavity computation and classify algorithmic approaches into three categories: evolution-based, energy-based and geometry-based.",simoes.jpg,"Simões, Tiago; Lopes, Daniel; Dias, Sérgio; Fernandes, Francisco; Pereira, João; Jorge, Joaquim; Bajaj, Chandrajit; Gomes, Abel","Detecting and analysing protein cavities provides significant information about active sites for biological processes (e.g. protein–protein or protein–ligand binding) in molecular graphics and modelling. Using the three‐dimensional (3D) structure of a given protein (i.e. atom types and their locations in 3D) as retrieved from a PDB (Protein Data Bank) file, it is now computationally viable to determine a description of these cavities. Such cavities correspond to pockets, clefts, invaginations, voids, tunnels, channels and grooves on the surface of a given protein. In this work, we survey the literature on protein cavity computation and classify algorithmic approaches into three categories: evolution‐based, energy‐based and geometry‐based. Our survey focuses on geometric algorithms, whose taxonomy is extended to include not only sphere‐, grid‐ and tessellation‐based methods, but also surface‐based, hybrid geometric, consensus and time‐varying methods. Finally, we detail those techniques that have been customized for GPU (graphics processing unit) computing.","Computer Graphics, Geometric Modelling, Life And Medical Sciences, Biological Modelling, Modelling, Computational Geometry","""A current trend in this field is to develop dynamic models for protein surfaces that deform over time and mimic their biophysical behaviour. To this end, we need surface models for proteins that take into account protein–ligand and protein–protein interactions; for example, we need a model that is further capable of representing induced conformations on molecular binding and thereby captures topological transformations of, for example, a void into a pocket, and vice versa. In many ways, this is a challenge for those involved in physically based geometry research, which directly involves Computer Graphics and Geometry Processing. The promise borne by these new approaches is both a more faithful and farther reaching model of protein–ligand interactions that could yield significant gains in molecular simulation and modelling.""",10.1111/cgf.13158,y-upper grp,done in molecular function
S51,The human body at cellular resolution: the NIH Human Biomolecular Atlas Program,Srivatsan et al.,2019,"imaging, omics, mass spectroscopy",3,-10,0,-6,5,"Molecule, Cell, Tissue, Organ, Organism",1,1,"Anatomy, Physiology",Outlook,0.5,0.5,0,1,"explore and analyze molecular and cellular organization, interactions, and functions and their relationship to tissue, organ, system, and whole body level",many,,body,bioinformatics,"massive, multidisciplinary initiitiave to map the entire body at a molecular and cellular level using omics data; map all of this to a common coordinate framework. 
""Trillions of cells, organized across an array of spatial scales and a multitude of functional states, contribute to a symphony of physiology. While we broadly know how cells are organized in most tissues, a comprehensive understanding of the cellular and molecular states and interactive networks resident in the tissues and organs, from organizational and functional perspectives, is lacking. The specific three-dimensional organization of different cell types, together with the effects of cell–cell and cell–matrix interactions in their natural milieu, have a profound impact on normal function, natural ageing, tissue remodelling, and disease progression in different tissues and organs.""
""The HuBMAP Consortium (https://hubmapconsortium.org/) will actively work with other ongoing initiatives including the Human Cell Atlas7, Human Protein Atlas8, LIfeTime (https://lifetime-fetflagship.eu/), and related NIH-funded consortia that are mapping specific organs (including the brain9, lungs (https://www.lungmap.net/), kidney (https://kpmp.org/about-kpmp/), and genitourinary (https://www.gudmap.org/) regions) and tissues (especially pre-cancer and tumours10; https://humantumoratlas.org), as well as other emerging programs.""",hubmap.jpg,"Srivatsan, Sanjay R; Regier, Mary C; Barkan, Eliza; Franks, Jennifer M; Packer, Jonathan S; Grosjean, Parker; Duran, Madeleine; Saxton, Sarah; Ladd, Jon J; Spielmann, Malte; others; Consortium, HuBMAP; others","Transformative technologies are enabling the construction of three-dimensional maps of tissues with unprecedented spatial and molecular resolution. Over the next seven years, the NIH Common Fund Human Biomolecular Atlas Program (HuBMAP) intends to develop a widely accessible framework for comprehensively mapping the human body at single-cell resolution by supporting technology development, data acquisition, and detailed spatial mapping. HuBMAP will integrate its efforts with other funding agencies, programs, consortia, and the biomedical research community at large towards the shared vision of a comprehensive, accessible three-dimensional molecular and cellular atlas of the human body, in health and under various disease conditions","Computational platforms and environments, Genomics","**this is their project proposal, so on some level all of this is future work",10.1038/s41586-019-1629-x,n,"done, in introduction"
S52,4D flow imaging with MRI,Stankovic et al.,2014,MRI,3,-3,-1,-2,0,"Tissue, Organ ",0,1,Physiology,Survey,0.25,0.75,0,1,"exploration: A 3D anatomic representation of the underlying cardiovascular geometry can provide the anatomic orientation needed for 3D flow visualization and retrospective flow quantification. 
""the combination of 3D blood flow visualization with flow quantification enables a new and previously unfeasible comprehensive evaluation of the impact of cardiovascular pathologies on global and local changes in cardiac or vascular hemodynamics"" --> clear analysis goals
*SOME* labels added that are communication-based, but I think these were for the benefit of the publication",blood flow ,,vessel ,medicine,"The purpose of this review is to provide a brief introduction to the imaging techniques used to acquire 4D flow MRI data as well as the analysis tools currently used for blood flow visualization and flow quantification. Furthermore, a selected number of clinical applications will be presented to illustrate the potential of 4D flow MRI for an improved and more comprehensive evaluation of cardiovascular disease.",stankovic.jpg,"Stankovic, Zoran; Allen, Bradley D.; Garcia, Julio; Jarvis, Kelly B.; Markl, Michael","Magnetic resonance imaging (MRI) has become an important tool for the clinical evaluation of patients with cardiovascular disease. Since its introduction in the late 1980s, 2-dimensional phase contrast MRI (2D PC-MRI) has become a routine part of standard-of-care cardiac MRI for the assessment of regional blood flow in the heart and great vessels. More recently, time-resolved PC-MRI with velocity encoding along all three flow directions and three-dimensional (3D) anatomic coverage (also termed ‘4D flow MRI’) has been developed and applied for the evaluation of cardiovascular hemodynamics in multiple regions of the human body. 4D flow MRI allows for the comprehensive evaluation of complex blood flow patterns by 3D blood flow visualization and flexible retrospective quantification of flow parameters. Recent technical developments, including the utilization of advanced parallel imaging techniques such as k-t GRAPPA, have resulted in reasonable overall scan times, e.g., 8-12 minutes for 4D flow MRI of the aorta and 10-20 minutes for whole heart coverage. As a result, the application of 4D flow MRI in a clinical setting has become more feasible, as documented by an increased number of recent reports on the utility of the technique for the assessment of cardiac and vascular hemodynamics in patient studies. A number of studies have demonstrated the potential of 4D flow MRI to provide an improved assessment of hemodynamics which might aid in the diagnosis and therapeutic management of cardiovascular diseases. The purpose of this review is to describe the methods used for 4D flow MRI acquisition, post-processing and data analysis. In addition, the article provides an overview of the clinical applications of 4D flow MRI and includes a review of applications in the heart, thoracic aorta and hepatic system.","4D flow magnetic resonance imaging (4D flow MRI), phase contrast magnetic resonance imaging (PC-MRI), blood flow, hemodynamics, PC-VIPR, visualization, quantification, carotid bifurcation, aorta, heart, pulmonary arteries, renal arteries, liver hemodynamics, splanchnic vessel system, peripheral arteries","improve clinical applicability, larger cohort studies ",10.3978/j.issn.2223-3652.2014.01.02,n,done in blood flow function
S53,Discovering Medical Knowledge Using Visual Analytics,Sturm et al.,2015,omics data ,2,-9,-6,-6,5,Molecule,0,0,"Physiology, Anatomy",Survey,0,1,0,1,survey focuses on visual analysis approaches,"pathway, networks, gene expression",,"molecules, genes",Vis,"survey on visual analysis methods for systems biology and omics data (not all of which is dynamic per se), extension of survey by Turkay et al. 2014 ""on computationally enhanced visual analysis of heterogeneous data and its application in biomedical informatics""",--,"Sturm, Werner; Schreck, Tobias; Holzinger, Andreas; Ullrich, Torsten","Due to advanced technologies, the amount of biomedical data has been increasing drastically. Such large data sets might be obtained from hospitals, medical practices or laboratories and can be used to discover unknown knowledge and to find and reflect hypotheses. Based on this fact, knowledge discovery systems can support experts to make further decisions, explore the data or to predict future events. To analyze and communicate such a vast amount of information to the user, advanced techniques such as knowledge discovery and information visualization are necessary. Visual analytics combines these fields and supports users to integrate domain knowledge into the knowledge discovery process. This article gives a state-of-the-art overview on visual analytics reseach with a focus on the biomedical domain, systems biology and *omics data.","systems biology, omics data",need to integrate multiple datasets and process in multiple layers simultaneously in order to understand how processes all relate to the whole [organism],10.2312/VCBM.20151210,y-upper group,done in molecule function
S55,Understanding Blood-Flow Dynamics: New Challenges for Visualization,"van Pelt, Vilanova",2013,Multiple,3,-3,-2,-3,0,"Tissue, Organ",0,1,Physiology,Survey,0.25,0.5,0.25,1,"methods for visual analysis, exploring input data through different visual encodings, and curating visualization for communication are all mentioned",blood flow,,---,Vis,Survey,---,"van Pelt, Roy; Vilanova, Anna","Blood-flow velocity information can nowadays be obtained through imaging and simulation, providing time-varying volumetric vector-fields. The 4D blood-flow data contain valuable information for diagnosis, prognosis, and risk assessment of cardiovascular diseases, which currently form the leading cause of death worldwide. However, these complex blood-flow data are still rarely analyzed, because conventional inspection is insufficient to extract useful information. Therefore, comprehensive visualization techniques are necessary to effectively communicate the essential blood-flow dynamics. In recent years, the bloodflow application has gained interest in the visualization research field, and new techniques have been proposed to convey the complex hemodynamics. Still, many challenges remain in terms of the visualization and interaction. This work first describes the main applications, and the current blood-flow analysis process. Subsequently, we set out key challenges for blood-flow visualization research, and describe to what extent the challenges have been achieved in the state of the art in this field.",---,---,10.1109/MC.2013.121,n,done in blood flow function section
S56,The Virtual Physiological Human: Ten Years After,"Viceconti, Hunter",2016,simulation,3,-10,0,-15,5,"Molecule, Organelle, Cell, Tissue, Organ",1,1,Physiology ,Survey,0.5,0.5,0,1,complete virtual physiological human aimed for mainly exploration (what are the results of this simulation?) and analysis (what are the properties tied to this simulation parameter? etc),"breathing, heart beat (two main examples, others)",,"lung function, heart function (two main examples, others)",biomedical engineering,"retrospective on the VPH project: developed CellML and FieldML, which  together provide the means to encode any biophysical model in a standardized and reproducible format.The VPH approach requires the ability to describe pathophysiological processes in quantitative terms over space and time and across vast space-time scales. Main progress in this area of multi-scale models has been on the heart and lungs. ",hunter2016.jpeg,"Viceconti, Marco; Hunter, Peter","Biomedical research and clinical practice are struggling to cope with the growing complexity that the progress of health care involves. The most challenging diseases, those with the largest socioeconomic impact (cardiovascular conditions; musculoskeletal conditions; cancer; metabolic, immunity, and neurodegenerative conditions), are all characterized by a complex genotype-phenotype interaction and by a ""systemic"" nature that poses a challenge to the traditional reductionist approach. In 2005 a small group of researchers discussed how the vision of computational physiology promoted by the Physiome Project could be translated into clinical practice and formally proposed the term Virtual Physiological Human. Our knowledge about these diseases is fragmentary, as it is associated with molecular and cellular processes on the one hand and with tissue and organ phenotype changes (related to clinical symptoms of disease conditions) on the other. The problem could be solved if we could capture all these fragments of knowledge into predictive models and then compose them into hypermodels that help us tame the complexity that such systemic behavior involves. In 2005 this was simply not possible-the necessary methods and technologies were not available. Now, 10 years later, it seems the right time to reflect on the original vision, the results achieved so far, and what remains to be done.",Virtual Physiological Human; computational physiology; in silico medicine; physiome,"Two challenges remain: (a) Incentives are needed to persuade modelers to use the standards in order to ensure that their models are reusable by others, and (b) a framework is needed to ensure that the multiscale models developed by independent research groups can be connected into integrative models of whole-body physiology for applications to health care—not least because the epidemic of chronic diseases that confronts the developed world can be addressed only by methods that deal with highly complex physiological processes involving multiple organs and tissue types linked to molecular mechanisms.",10.1146/annurev-bioeng-110915-114742,n,done in introduction part where talk about related work
S58,Software tools for visualizing Hi-C data,Yardimici et al.,2017,Hi-C,3,-7,-6,2,2,"Molecule, Organelle",0,1,Physiology ,Survey,0.25,0.75,0,1,"survey of 5 tools that visualize chromosome configuations/interactions, focused mainly on analysis. Often data are raw, some tools allow for direct visualization of 3D chromosome models ","epigenetics, chromosome interactions ",,Chromosomes,Vis,"reviewed ""five visualization tools for genomic interaction data generated using chromosome conformation capture approaches. They characterized the visualization functionality of those tools based on available visualization types and also discussed integration of supplementary views and data handling capabilities. They categorized visualization techniques based on whether they are more suitable for short-range interactions or long-range interactions.""
** assays for measuring the three-dimensional configuration of DNA in the nucleus have provided unprecedented insights into the relationship between DNA 3D configuration and function",yardimici.jpg,Yardimci G. G.; Noble W. S.,"Recently developed, high-throughput assays for measuring the three-dimensional configuration of DNA in the nucleus have provided unprecedented insights into the relationship between DNA 3D configuration and function. However, accurate interpretation of data from assays such as ChIA-PET and Hi-C is challenging because the data is large and cannot be easily rendered using a standard genome browser. In particular, an effective Hi-C visualization tool must provide a variety of visualization modes and be capable of viewing the data in conjunction with existing, complementary data. We review a number of such software tools that have been described recently in the literature, focusing on tools that do not require programming expertise on the part of the user. In particular, we describe HiBrowse, Juicebox, my5C, the 3D Genome Browser, and the Epigenome Browser, outlining their complementary functionalities and highlighting which types of visualization tasks each tool is best designed to handle.","Hi-C, genomics",--,10.1101/086017v1,n,done in molecular function
S54,4D space-time techniques: a medical imaging case study,Tory et al.,2001,"MRI,SPECT","2, 3",-3,-1,0,0,Organ,0,1,Physiology,Survey,0.75,0.25,0,1,"using different visualization encoding techniques directly map to input data for exploration, some analysis aspect since targeted for experts ",any time oriented pr.,,"Kidney, Brain",Vis,"We have presented several methods for visualizing time varying medical image data (isosurfaces, direct volume rendering, glyphs). These techniques have the potential to compress large quantities of data into a single image, as well as provide new measures currently not used for diagnosis, such as rates of change. ",tory.jpg,Tory et al.,"We present the problem of visualizing time-varying medical data. Two medical imaging modalities are compared - MRI and dynamic SPECT. For each modality, we examine several derived scalar and vector quantities such as the change in intensity over time, the spatial gradient, and the change of the gradient over time. We compare several methods for presenting the data, including isosurfaces, direct volume rendering, and vector visualization using glyphs. These techniques may provide more information and context than methods currently used in practice, thus it is easier to discover temporal changes and abnormalities in a data set.",---,"Improve interaction, corelation of new measures",10.1109/VISUAL.2001.964554,y-lower grp,done in brain function
