ID,Title,Author,Year,Data Origin,Visual Dim,Space Scale Start,Space Scale Finish,Time Scale Start,Time Scale Finish,Level,Multi scale,Human,Phys/Anat,Survey model method tool,Old Purpose,Exploration,Analysis,Communication,Purpose test,Purpose comment,Process,Structure,Origin,Concept,Ref. Image,Image Name,Bibtex Authors,Abstract,Keywords,Future work
181,Multiscale Visualization: A Structured Literature Analysis,Cakmak et al.,2021,--,-- ,-,-,-,-,--,1,0,Physiology,Survey,,0.5,0.5,0,1,"Paper includes short discussion of biological applications, noting common juxtaposition of visualizations. such as 3D and graph
representations. Typical targets are to explore and summarize similar network and geometric (4) datasets features (8) and distributions (4), such as 3D shapes (5), network topologies, and paths. The interaction methods are selecting and navigating in a top-down fashion to filter and change categorical data attributes across micro and mesoscale. The paper evaluations are usage scenarios and qualitative studies. They specifically call out abstractocyte",---,---,Visualization,review of multiscale visualization papers across disciplines that are categorized according to common design factors. Authors provide helpful definition of multiscale ,,- ,"Cakmak, Eren; Jackle, Dominik; Schreck, Tobias; Keim, Daniel; Fuchs, Johannes","Multiscale visualizations are typically used to analyze multiscale processes and data in various application domains, such as the visual exploration of hierarchical genome structures in molecular biology. However, creating such multiscale visualizations remains challenging due to the plethora of existing work and the expression ambiguity in visualization research. Up to today, there has been little work to compare and categorize multiscale visualizations to understand their design practices. In this work, we present a structured literature analysis to provide an overview of common design practices in multiscale visualization research. We systematically reviewed and categorized 122 published journal or conference papers between 1995 and 2020. We organized the reviewed papers in a taxonomy that reveals common design factors. Researchers and practitioners can use our taxonomy to explore existing work to create new multiscale navigation and visualization techniques. Based on the reviewed papers, we examine research trends and highlight open research challenges.","Multiscale Visualization, Multiscale Navigation, Multiscale Exploration, Literature Analysis, Taxonomy, Survey",-
182,The MetaCyc database of metabolic pathways and enzymes and the BioCyc collection of pathway/genome databases,Caspi et al.,2015,pathway database,2,-10,-8,-6,5,"Molecule, Organelle",0,0,Physiology ,Tool,,0.25,0,0.75,1,"network and carton illustrations of pathways (cartoon example is the electron transer pathway diagram) provide information for researchers who wish to learn about the actors in a pathway, how they connect, how they react ",pathway ,molecule,biology,MetaCyc (MetaCyc.org) is a highly curated reference database of small-molecule metabolism from all domains of life. It contains data about enzymes and metabolic pathways that have been experimentally validated and reported in the scientific literature,,caspi.jpg,MetaCyc (MetaCyc.org) is a highly curated reference database of small-molecule metabolism from all domains of life. It contains data about enzymes and metabolic pathways that have been experimentally validated and reported in the scientific literature. Visualizations in this database are illustrative/graphical networks to communicate and explore members of a pathway ,"The MetaCyc database (MetaCyc.org) is a freely accessible comprehensive database describing metabolic pathways and enzymes from all domains of life. The majority of MetaCyc pathways are small-molecule metabolic pathways that have been experimentally determined. MetaCyc contains more than 2400 pathways derived from >46,000 publications, and is the largest curated collection of metabolic pathways. BioCyc (BioCyc.org) is a collection of 5700 organism-specific Pathway/Genome Databases (PGDBs), each containing the full genome and predicted metabolic network of one organism, including metabolites, enzymes, reactions, metabolic pathways, predicted operons, transport systems, and pathway-hole fillers. The BioCyc website offers a variety of tools for querying and analyzing PGDBs, including Omics Viewers and tools for comparative analysis. This article provides an update of new developments in MetaCyc and BioCyc during the last two years, including addition of Gibbs free energy values for compounds and reactions; redesign of the primary gene/protein page; addition of a tool for creating diagrams containing multiple linked pathways; several new search capabilities, including searching for genes based on sequence patterns, searching for databases based on an organism's phenotypes, and a cross-organism search; and a metabolite identifier translation service.","pathway database, illustration, network visualization",continue adding new pathways to database
183,"Multiphysics and multiscale modelling, data–model fusion and integration of organ physiology in the clinic: ventricular cardiac mechanics",Chabiniok et al.,2016,simulation,3,-6,-1,-6,0,"Organelle, Cell, Tissue, Organ",1,1,Physiology,Survey,,0.25,0.75,0,1,"model analysis provides novel insight, the difficulty then turns to translating these findings into clinically useable decision-making tools that can be robustly tested through clinical trials, proving their efficacy and superiority compared to existing techniques",heart mechanics,Heart,biomechanics,"In this review, we consider the recent advances in ventricular cardiac mechanics modelling and translation to clinical applications. [..] After the challenges of data–model fusion are met and model analysis provides novel insight, the difficulty then turns to translating these findings into clinically useable decision-making tools that can be robustly tested through clinical trials, proving their efficacy and superiority compared to existing techniques. This effort is the principle aim of translational cardiac modelling (TCM), bringing cardiac modelling and model-based outcomes into the clinical routine.",,chabiniok.jpg,"Chabiniok, Radomir; Wang, Vicky Y.; Hadjicharalambous, Myrianthi; Asner, Liya; Lee, Jack; Sermesant, Maxime; Kuhl, Ellen; Young, Alistair A.; Moireau, Philippe; Nash, Martyn P.; Chapelle, Dominique; Nordsletten, David A.","With heart and cardiovascular diseases continually challenging healthcare systems worldwide, translating basic research on cardiac (patho)physiology into clinical care is essential. Exacerbating this already extensive challenge is the complexity of the heart, relying on its hierarchical structure and function to maintain cardiovascular flow. Computational modelling has been proposed and actively pursued as a tool for accelerating research and translation. Allowing exploration of the relationships between physics, multiscale mechanisms and function, computational modelling provides a platform for improving our understanding of the heart. Further integration of experimental and clinical data through data assimilation and parameter estimation techniques is bringing computational models closer to use in routine clinical practice. This article reviews developments in computational cardiac modelling and how their integration with medical imaging data is providing new pathways for translational cardiac modelling.",cardiac mechanics; data–model fusion; heart mechanics; patient-specific modelling; translational cardiac modelling,cardiac mechanics; data–model fusion; heart mechanics; patient-specific modelling; translational cardiac modelling
191,Illustration-Inspired Visualization of Blood Flow Dynamics,Coppin et al.,2014,CFD,3,-3,-2,-3,0,"Tissue, Organ ",0,1,Physiology ,Method,,0.25,0,0.75,1,"main idea to communicate dynamics of blood flow, use of illustrative techniques to abstract essential elements ",blood flow ,vessel,Vis,illustrative flow visualization techniques to communicate essential features of blood flow ,,coppin.jpg,"Coppin, P.; Harvey, J.; Valen-Sendstad, K.; Steinman, D.; Steinman, D.","Image-based computational fluid dynamics (CFD) is a central tool in the evaluation of hemodynamic factors in cardiovascular disease development and treatment, to the point where major vendors are now seeking to deploy CFD solvers on their medical imaging platforms. Detailed hemodynamic data available from CFD generate large data sets due to complex flow, which are difficult to render clearly – and thus communicate to clinical stakeholders – using conventional engineering flow visualization techniques. This is especially challenging considering the four-dimensional nature of the flow patterns (i.e., rapidly varying in space and time), as well as the clinical need for generating static reports rather than cumbersome digital animations. Taking a cue from the rich history of biomedical illustration, our goal is to use this opportunity for developing new data-driven paradigms for visualizing blood flow based on the principles of illustration, sequential art, and the visual vocabularies and conventions of radiology and vascular surgery.","Coppin, Peter; Harvey, John; Valen-Sendstad, Kristian; Steinman, Dolores; Steinman, David",--
195,"LifeBrush: Painting, simulating, and visualizing dense biomolecular environments","Davison, Samavati, Jacob",2019,"simulation, microscopy",3,-10,-5,-2,-2,"Molecule, Organelle",0,1,"Anatomy, Physiology (molecular interactions help describe anatomy)",Tool,,0.5,0,0.5,1,"agent-based simulation drives spinning and pumping behavior of ATP synthase, tool itself is designed for communicating processes to broad audience/scientists",molecular dynamics ,mitochondrion wall,Vis,"LifeBrush is a Cyberworld for painting dynamic molecular illustrations in virtual reality (VR) that then come to life as interactive simulations. We have sculpting tools for creating the geometry of the environment and the molecules. Our history based visualization enables the user to interactively explore and distil, from the busy and chaotic mesoscale environment, the interactions between molecules that drive cellular processes.",,davison.jpg,"Davison, Timothy; Samavati, Faramarz; Jacob, Christian","LifeBrush is a Cyberworld for painting dynamic molecular illustrations in virtual reality (VR) that then come to life as interactive simulations. We designed our system for the biological mesoscale, a spatial scale where molecules inside cells interact to form larger structures and execute the functions of cellular life. We bring our immersive illustrations to life in VR using agent-based modelling and simulation. Our sketch-based brushes use discrete element texture synthesis to generate molecular-agents along the brush path derived from examples in a palette. In this article we add a new tool to sculpt the geometry of the environment and the molecules. We also introduce a new history based visualization that enables the user to interactively explore and distil, from the busy and chaotic mesoscale environment, the interactions between molecules that drive cellular processes. We demonstrate our system with a mitochondrion example.","Agent-based simulation, Discrete element texture synthesis, Sketch-based modelling, Virtual Reality,Visualization",--
197,Visualization of time dependent confocal microscopy data,De Leeuw et al.,2000,confocal microscopy,3,-7,-6,4,4,Organelle,0,1,Physiology,Tool,,0.5,0.25,0.25,1,"interactive virtual reality tool to explore time-dependent confocal microscopy data:
Visualization is only one part of the analysis process. The visualization system used must be flexible enough to cooperate with the other parts of the process. The consequence of this is that the visualization system must be designed as an open system in which the output of other analysis tools can be incorporated. 
There is no one “silver bullet” visualization technique. Each visualization technique has its strength and weakness. Therefore a whole repertoire of techniques should be offered for use. 
In the analysis process, visualization is also used for collaboration and communication. In order to be effective, results
found in a highly sophisticated environment should be recordable, such that the results can be reproduced for discussion or
publication.",mitosis,chromosomes,Vis,visualization tool proteus to see in 3d the process of chromosomes in the nucleus condensing and decondensing in the mitosis phase of the cell cycle. This process lasts approximately 2h,,leeuw.jpg,"De Leeuw, W.C.; Van Liere, R.; Verschure, P.J.; Visser, A.E.; Manders, E.M.M.; Van Drielf, R.","The microscopic analysis of time dependent 3D live cells provides considerable challenges to visualization. Effective visualization can provide insight into the structure and functioning of living cells. The paper presents a case study in which a number of visualization techniques were applied to analyze a specific problem in cell biology: the condensation and de-condensation of chromosomes during cell division. The spatial complexity of the data required sophisticated presentation techniques. The interactive virtual reality enabled visualization system, proteus, specially equipped for time dependent 3D data sets is described. An important feature of proteus is that it is extendible to cope with application-specific demands.","microscopy, cellular biophysics, biology computing, data visualisation, living systems, virtual reality", extend proteus by integrating additional analysis tools. In this way we hope to achieve a tight integration of automatic feature detection and interactive visual analysis of the data.
198,BrainCove: A Tool for Voxel-wise fMRI Brain Connectivity Visualization,Dixhoorn et al.,2012,fMRI,3,-3,-1,-2,0,"Tissue, Organ ",0,1,Physiology ,Tool,,0.25,0.75,0,1,"visual analysis, some exploration to see data in raw form",brain activity ,Brain ,Vis,"In this paper, we presented a tool that couples a number of visualizations in order to facilitate the visual analysis of voxel-wise fMRI connectivity. Using our tool, the analyst is able to quickly identify interesting patterns in the functional network of the brain and differences in connectivity patterns between subjects or groups by visually comparing multiple datasets side-by-side. Currently, three different visualizations are implemented, including a pixmap representation and direct volume rendering of the correlation map for a given seed voxel in both anatomical context and a flat-map layout that shows the correlation map in pseudo-anatomical spacing.",,dixhoorn.jpg,"Dixhoorn, André F. Van; Milles, Julien R.; Lew, Baldur Van; Botha, Charl P.","Functional brain connectivity from fMRI studies has become an important tool in studying functional interactions in the human brain as a complex network. Most recently, research has started focusing on whole brain functional networks at the voxel-level, where fMRI time-signals at each voxel are correlated with every other voxel in the brain to determine their functional connectivity. For a typical 4mm isotropic voxel resolution, this results in connectivity networks with more than twenty thousand nodes and over 400 million links. These cannot be effectively visualized or interactively explored using node-link representations, and due to their size are challenging to show as correlation matrix bitmaps. In this paper, we present a number of methods for the visualization and interactive visual analysis of this new high resolution brain network data, both in its matrix representation as well as in its anatomical context. We have implemented these methods in a GPU raycasting framework that enables real-time interaction, such as network probing and volume deformation, as well as real-time filtering. The techniques are integrated in a visual analysis application in which the different views are coupled, supporting linked interaction. Furthermore, we allow visual comparison of different brain networks with side-by-side and difference visualization. We have evaluated our approach via case studies with domain scientists at two different university medical centers.","brain connectivity, functional connectivity, brain mapping, ray casting","extend comparative visualization, try other types of cortical maps instead of cylindrical that create less distortion in flat map (currently using cylindrical)"
202,Visualization of Large Molecular Trajectories,Duran et al.,2019,simulation,"2, 3",-10,-7,-15,0,Molecule,0,1,Physiology,Tool,,0.25,0.75,0,1,"domain experts can use energy charts to obtain an overview of the states of the simulation by showing potentially relevant simulation steps (analysis), while at the same time being able to perform a 3D exploration to obtain a deeper understanding of the protein-ligand interplay. Based on the simulation data, we automatically detect regions of potential interest and represent this information within specialized widgets that the user may click on to quickly jump to these parts of the simulation, while the detailed inspection can then be performed within the updated 3D view. Conversely, the user can select the regions of interest in the 3D view, and the system will highlight the zones of the charts where such selected 3D volumes are visited by the ligand. so overarching task is visual analysis ","ligand binding, molecular reaction","molecule, protein, ligand",Vis,Tool that combines spatial and non-spatial information by means of interaction and visualization,,duran.jpg,"Duran, David; Hermosilla, Pedro; Ropinski, Timo; Kozlíková, Barbora; Vinacua, Álvar; Vázquez, Pere-Pau","The analysis of protein-ligand interactions is a time-intensive task. Researchers have to analyze multiple physico-chemical properties of the protein at once and combine them to derive conclusions about the protein-ligand interplay. Typically, several charts are inspected, and 3D animations can be played side-by-side to obtain a deeper understanding of the data. With the advances in simulation techniques, larger and larger datasets are available, with up to hundreds of thousands of steps. Unfortunately, such large trajectories are very difficult to investigate with traditional approaches. Therefore, the need for special tools that facilitate inspection of these large trajectories becomes substantial. In this paper, we present a novel system for visual exploration of very large trajectories in an interactive and user-friendly way. Several visualization motifs are automatically derived from the data to give the user the information about interactions between protein and ligand. Our system offers specialized widgets to ease and accelerate data inspection and navigation to interesting parts of the simulation. The system is suitable also for simulations where multiple ligands are involved. We have tested the usefulness of our tool on a set of datasets obtained from protein engineers, and we describe the expert feedback.","ligand trajectory, energy graphs, multiple views","multiple simulations at same time, multiple 3D views"
206,Similarity analysis of cell movements in video microscopy,Fangerau et al.,2012,microscopy,3,-7,-4,1,5,"Cell, Tissue",0,0,Physiology ,Method,,0.5,0.5,0,1,"""The goal of our work is to support biologists in the interactive exploration of cell trajectories in video microscopy data. ""
explore tracking paths of traced cells from data, visual analysis of the data that clusters tracked paths of cells with similar features/shape structures","cell migration, embryogenesis","cell, tissue",biovis,"computational technique that classifies and validates similar patterns of cell movements and cell divisions in organisms that consist of up to thousands of cells.
The tracking information from video microscopy is used to construct cell lineages, i.e., the pattern of motion and division of a cell. To cope with the huge numbers of lineages, we introduce a level of detail approach by means of hierarchical clustering. An interactive visual interface helps the biologists in the second phase to explore similarities and differences in the trajectory data.",,fangerau.jpg,"Fangerau, Jens; Höckendorf, Burkhard; Wittbrodt, Joachim; Leitte, Heike","Modern 3D+T video microscopy techniques enable biologists to acquire data of living organisms with unprecedented resolution in time and space. These datasets contain a wealth of biologically relevant and quantifiable information, e.g. the movements of all individual cells in a complex organism. However, extraction, validation, and analysis of this information are both challenging and time-consuming. In this paper, we present a computational technique that classifies and validates similar patterns of cell movements and cell divisions in organisms that consist of up to thousands of cells. Our algorithm determines tracking paths of traced cells that exhibit similar features and shape structures. These similarity values are assigned to our cluster algorithm that clusters paths into groups of coherent behavior. The data can be interactively explored in 2D projections and a 3D cell movement representation. For the first time, this visualization allows biologists to exhaustively assess similarities and differences in division patterns and cell migration on the scale of an entire organism. For validation, we applied our method on a synthetic dataset and two real datasets including zebrafish periods from blastula stage to early epiboly and growing zebrafish tail. We show that our method succeeds in detecting similarities based on shape and cell-movement based features.","migration patterns, embryogenesis, cell lineage, cell division",enhance methods by include organism symmetry and shape
207,Reaching new levels of realism in modeling biological macromolecules in cellular environments,"Feig, Sugita",2013,simulation ,3,-10,-7,-9,5,"Molecule, Organelle",0,1,Physiology,Survey,,1,0,0,1,visualize results of simulations/models,molecular reaction,molecules,biology/molecular chemistry ,"In this review, recent modeling efforts to study the structure and dynamics of biomolecules in the cellular context are contrasted and discussed in the context of providing a deeper understanding of cellular environments that includes a variety of different aspects ranging from crowding effects to biochemical reaction networks. It is clear that much progress has been made in modeling different levels of detail and processes at different spatial or temporal scales. However, there is still a relative lack of integration between scales that is necessary to provide a truly comprehensive view.
Cellular environments involve a wide range of temporal and spatial scales; Models of macromolecules in cellular environments ranging from atomistic to coarse-grained levels; Integration of models at different scales is a key challenge in achieving more realistic cellular models. ",,feig.jpg,"Feig, Michael; Sugita, Yuji","An increasing number of studies are aimed at modeling cellular environments in a comprehensive and realistic fashion. A major challenge in these efforts is how to bridge spatial and temporal scales over many orders of magnitude. Furthermore, there are additional challenges in integrating different aspects ranging from questions about biomolecular stability in crowded environments to the description of reactive processes on cellular scales. In this review, recent studies with models of biomolecules in cellular environments at different levels of detail are discussed in terms of their strengths and weaknesses. In particular, atomistic models, implicit representations of cellular environments, coarse-grained and spheroidal models of biomolecules, as well as the inclusion of reactive processes via reaction–diffusion models are described. Furthermore, strategies for integrating the different models into a comprehensive description of cellular environments are discussed.",Crowding; Confinement; Reaction–diffusion; Coarse-graining; Implicit solvent; Brownian dynamics,"There appear to be many opportunities, however, to further develop methods that can bridge between scales and that, we believe, will ultimately lead to fully integrated cellular models that are both physically accurate and biologically relevant and thus can serve as a platform for in silico cellular models with broad practical applications. Another opportunity is better integration of modeling with emerging experimental techniques that are increasingly able to provide high-resolution imaging of cellular systems, such as those based on small-angle X-ray scattering (SAXS)[236], free-electron X-ray lasers (XFEL)[237] and super-resolution fluorescence microscopy "
208,Evaluation of glyph-based multivariate scalar volume visualization techniques,Feng et al.,2009,MRS,3,-9,-3,2,2,Molecule,0,1,Physiology,Method,,0.25,0.75,0,1,"Render metabolites, explore and analysis for following questions:
1. Value Estimation: What are the values of variables at particular spatial locations?
2. Relationship Identification: What relationships exist among
variables in the data?",metabolism,metabolites,vis,"SDDS is a 3D extension of Bokinsky’s 2D Data-Driven Spots, a 2D multivariate visualization technique [Bokinsky 2003]. In her work, Bokinsky displays multiple scalar fields using color-encoded Gaussian splats placed on a jittered sample grid and shows that multiple layers of differently-colored spots were as effective for the display of the shape of overlapping 2D scalar fields as direct display of the computed intersection. SDDS extends this to 3D while avoiding opacity color mixing.
(from figure) SDDS visualization applied to a data set containing a visible lesion, shown in gray in the background anatomical data. In this example, the yellow and orange spheres correspond to choline concentration and creatine concentration, respectively. Using SDDS,
it is apparent that the yellow and orange spheres have an inverse relationship outside the lesion, but both decrease in the lesion. The relationships is significantly more apparent in 3D with stereo and motion cues.",,feng-sdds.jpg,"Feng, David; Lee, Yueh; Kwock, Lester; Taylor, Russell M.","We present a user study quantifying the effectiveness of Scaled Data-Driven Spheres (SDDS), a multivariate three-dimensional data set visualization technique. The user study compares SDDS, which uses separate sets of colored sphere glyphs to depict variable values, to superquadric glyphs, an alternative technique that maps all variable values to a single glyph. User study participants performed tasks designed to measure their ability to estimate values of particular variables and identify relationships among variables. Results from the study show that users were significantly more accurate and faster for both tasks under the SDDS condition.","multivariate visualization, glyphs, user study","SDDS may also apply in cell chemistry simulation, where complex cell reactions are observed over time. As we continue to improve the SDDS technique, we hope to enable such researchers outside of MR spectroscopy to better understand
the relationships and values in their complex data sets."
210,Mitochondrial form and function,"Friedman, Nunnari",2014,microscopy,3,-7,-6,-6,5,Organelle,0,0,"Physiology, Anatomy",Method,,0.25,0,0.75,1,"Visualizations in this work are either direct or are hand-crafted illustrations to depict key mitochondrial functions, e.g. mitochondrial division and fusion",mitochondria physiology,mitochondria,biology,"The emerging picture of mitochondria is that of 'super-organized' structural domains for building an organelle whose behaviour is wired to be responsive to cellular needs, as well as its own dysfunction. The combined use of system-based approaches, with super-resolution microscopy and new genetic tools will allow us to understand the molecular basis of mitochondrial structure in detail. Exactly how mitochondrial super-organization is constructed will address the fundamental question of whether primary determinants of organization originate from the inside of the organelle and are intimately tied to the most ancient feature — the genome.",,friedman.jpg,"Friedman, Jonathan R.; Nunnari, Jodi","
Mitochondria are one of the major ancient endomembrane systems in eukaryotic cells. Owing to their ability to produce ATP through respiration, they became a driving force in evolution. As an essential step in the process of eukaryotic evolution, the size of the mitochondrial chromosome was drastically reduced, and the behaviour of mitochondria within eukaryotic cells radically changed. Recent advances have revealed how the organelle's behaviour has evolved to allow the accurate transmission of its genome and to become responsive to the needs of the cell and its own dysfunction.","mitochondria function, mitochondrial organization, medical illustration",--
212,Multiscale Visual Drilldown for the Analysis of Large Ensembles of Multi-Body Protein Complexes,Furmanová et al.,2020,simulation ,2,-10,-6,-15,0,Molecule,0,1,Physiology,Tool,,0.25,0.75,0,1,"propose a system enabling domain experts to explore, compare, and filter protein complexes at different levels of detail. We propose several dedicated views, displaying the available information for each level in the data hierarchy. As the views are interactively linked, the users can observe how a given filter or selection operation translates to other levels of the data hierarchy. We also track all filtering operations and provide an interface where the users can check how previously used filters affect the explored ensemble and, if necessary, revert them. ",molecular dynamics,molecule,Vis,novel multiscale visual drilldown approach that enables a systematic exploration of the configuration space of molecules. This approach solves the problem of analyzing hundreds of possible spatial configurations of protein complexes produced by a docking tool and selecting suitable representatives that can be further explored in the lab. Our approach builds on the hierarchical structure of protein complex ensembles which we use to facilitate the exploration of the data at multiple levels of the hierarchy.,,furmanova-drilldown.jpg,"Furmanová, Katarína; Jurcík, Adam; Kozlíková, B.; Hauser, H.; Byska, Jan","When studying multi-body protein complexes, biochemists use computational tools that can suggest hundreds or thousands of their possible spatial configurations. However, it is not feasible to experimentally verify more than only a very small subset of them. In this paper, we propose a novel multiscale visual drilldown approach that was designed in tight collaboration with proteomic experts, enabling a systematic exploration of the configuration space. Our approach takes advantage of the hierarchical structure of the data - from the whole ensemble of protein complex configurations to the individual configurations, their contact interfaces, and the interacting amino acids. Our new solution is based on interactively linked 2D and 3D views for individual hierarchy levels. At each level, we offer a set of selection and filtering operations that enable the user to narrow down the number of configurations that need to be manually scrutinized. Furthermore, we offer a dedicated filter interface, which provides the users with an overview of the applied filtering operations and enables them to examine their impact on the explored ensemble. This way, we maintain the history of the exploration process and thus enable the user to return to an earlier point of the exploration. We demonstrate the effectiveness of our approach on two case studies conducted by collaborating proteomic experts.","molecular dynamics, dashboard, multiple views",--
215,Interactive visual exploration of metabolite ratios in MR spectroscopy studies,Garrison et al.,2020,MRS,2,-9,0,2,2,Molecule,0,1,Physiology,Tool,,0.75,0.25,0,1,"Main idea of this work is for user to explore spectral metabolite ratios (which are derived) for a set of MRS acquisitions. Explore these data in context of voxel location and table of data that show the TE, patient age, etc. ",metabolism (end result),"metabolites, brain",vis,Interactive multipanel tool for visual exploration and analysis of MRS data to understand relevant ratios of metabolites in key regions of the brain. This knowledge provides insight into the pathophysiology of the patient that cannot be observed in pure structural methods,,garrison-mrs.jpg,"Garrison, Laura; Vašíček, Jakub; Craven, Alexander R.; Grüner, Renate; Smit, Noeska N.; Bruckner, Stefan","Magnetic resonance spectroscopy (MRS) is an advanced biochemical technique used to identify metabolic compounds in living tissue. While its sensitivity and specificity to chemical imbalances render it a valuable tool in clinical assessment, the results from this modality are abstract and difficult to interpret. With this design study we characterized and explored the tasks and requirements for evaluating these data from the perspective of a MRS research specialist. Our resulting tool, SpectraMosaic, links with upstream spectroscopy quantification software to provide a means for precise interactive visual analysis of metabolites with both single- and multi-peak spectral signatures. Using a layered visual approach, SpectraMosaic allows researchers to analyze any permutation of metabolites in ratio form for an entire cohort, or by sample region, individual, acquisition date, or brain activity status at the time of acquisition. A case study with three MRS researchers demonstrates the utility of our approach in rapid and iterative spectral data analysis.","MRS, heatmap, ratios, exploratory data analysis, spectroscopy",expand for larger cohort studies
216,Resting State fMRI-guided Fiber Clustering: Methods and Applications,Ge et al.,2013,fMRI/DTI,3,-3,-1,-2,0,"Tissue, Organ ",0,1,Physiology,Method,,0.25,0.75,0,1,"cluster fiber bundles (derive, analysis) and explore result ",brain activity,brain,medicine,"In this paper, we take a novel, alternative multimodal approach of combining resting state fMRI (rsfMRI) and DTI data, and propose to use functional coherence as the criterion to guide the clustering of fibers derived from DTI tractography. Visualization is clustered fiber tracts ",,ge.jpg,"Ge, Bao; Guo, Lei; Zhang, Tuo; Hu, Xintao; Han, Junwei; Liu, Tianming","Clustering streamline fibers derived from diffusion tensor imaging (DTI) data into functionally meaningful bundles with group-wise correspondences across individuals and populations has been a fundamental step for tract-based analysis of white matter integrity and brain connectivity modeling. Many approaches of fiber clustering reported in the literature so far used geometric and/or anatomic information derived from structural MRI and/or DTI data only. In this paper, we take a novel, alternative multimodal approach of combining resting state fMRI (rsfMRI) and DTI data, and propose to use functional coherence as the criterion to guide the clustering of fibers derived from DTI tractography. Specifically, the functional coherence between two streamline fibers is defined as their rsfMRI time series' correlations, and the affinity propagation (AP) algorithm is used to cluster DTI-derived streamline fibers into bundles. Currently, we use the corpus callosum (CC) fibers, which are the largest fiber bundle in the brain, as a test-bed for methodology development and validation. Our experimental results have shown that the proposed rsfMRI-guided fiber clustering method can achieve functionally homogeneous bundles that are reasonably consistent across individuals and populations, suggesting the close relationship between structural connectivity and brain function. The clustered fiber bundles were evaluated and validated via the benchmark data provided by task-based fMRI, via reproducibility studies, and via comparison with other methods. Finally, we have applied the proposed framework on a multimodal rsfMRI/DTI dataset of schizophrenia (SZ) and reproducible results were obtained.","Resting state fMRI, DTI, fiber clustering, tract-based analysis",validate/evaluate against larger datasets
218,Visualization of omics data for systems biology,Gehlenborg et al.,2010,genomics data,2,-10,-6,2,2,"Molecule, Organelle, Cell",1,1,Physiology ,Survey,,0.25,0.75,0,1,"main focus in these tools is largely on analysis, minimal amount of exploration (e.g., exploration is a reasonable task mentioned for network clustering and correlation clusters for gene expression datasets - BioLayoutExpress is one example)","pathway, gene expression",molecule,Systems biology ,"overview of visualization methods for omics data, discussion of key experimental methods for systems biology. Provide lists of visualization tools for: interaction networks, which are often node-link diagrams (Cytyoscape mentioned), vis tools for pathways (e.g. Caleydo), omics data can be overlaid onto biological networks, can be multivariate (with listing of vis tools)--key methods for multivar include scatterplots, profile plots, heat maps, ",,--,"Gehlenborg, Nils; O'Donoghue, Seán I.; Baliga, Nitin S.; Goesmann, Alexander; Hibbs, Matthew A.; Kitano, Hiroaki; Kohlbacher, Oliver; Neuweger, Heiko; Schneider, Reinhard; Tenenbaum, Dan; Gavin, Anne-Claude","High-throughput studies of biological systems are rapidly accumulating a wealth of 'omics'-scale data. Visualization is a key aspect of both the analysis and understanding of these data, and users now have many visualization methods and tools to choose from. The challenge is to create clear, meaningful and integrated visualizations that give biological insight, without being overwhelmed by the intrinsic complexity of the data. In this review, we discuss how visualization tools are being used to help interpret protein interaction, gene expression and metabolic profile data, and we highlight emerging new directions.","omics, genomics, systems biology ","automated pathway and network layout to match expert needs, improvements in usability, more web-based tools that are tightly coupled to underlying databases"
