Key from main,Title,Author,Year,Data Origin,Visual Dim,Space Scale Start,Space Scale Finish,Time Scale Start,Time Scale Finish,Level,Multi scale,Human,Phys/Anat,Survey model method tool,Old Purpose,Exploration,Analysis,Communication,Purpose test,Purpose comment,Process,Structure,Origin,Concept,Ref. Image,Image Name,Bibtex Authors,Abstract,Keywords,Future work
101,Cell lineage visualisation,"Pretorius, Khan, Errington",2015,Microscope,2,-5,-4,5,6,"Cell, Tissue",0,1,Physiology,Tool,Process analysis,0,1,0,1,visual analysis,Cell population development,Cancer tissue,Vis,Enabling comprehensive analysis of the cell population development,#NAME?,pretorius.jpg,"Pretorius, A. J.; Khan, I. A.; Errington, R. J.","Cell lineages describe the developmental history of cell populations and are produced by combining time-lapse imaging and image processing. Biomedical researchers study cell lineages to understand fundamental processes such as cell differentiation and the pharmacodynamic action of anticancer agents. Yet, the interpretation of cell lineages is hindered by their complexity and insufficient capacity for visual analysis. We present a novel approach for interactive visualisation of cell lineages. Based on an understanding of cellular biology and live-cell imaging methodology, we identify three requirements: multimodality (cell lineages combine spatial, temporal, and other properties), symmetry (related to lineage branching structure), and synchrony (related to temporal alignment of cellular events). We address these by combining visual summaries of the spatiotemporal behaviour of an arbitrary number of lineages, including variation from average behaviour, with node-link representations that emphasise the presence or absence of symmetry and synchrony. We illustrate the merit of our approach by presenting a real-world case study where the cytotoxic action of the anticancer drug topotecan was determined.","bar plot, tree view, brushing",Linking visual analysis to the underlying image data
102,A Novel Grid-based Visualization Approach for Metabolic Networks with Advanced Focus & Context View,Rohrschneider et al.,2010,Pathway,2,-9,-6,-6,5,Molecule,0,1,Physiology,Method,Process analysis,0,0.75,0.25,1,visual analysis with illustrative method,pathways,---,Vis,Combining and applying information visualization technique to present the complete set of biochemical reactions of metabolic pathways in eucaryotic cell,#NAME?,rohrschneider.jpg,"Rohrschneider, Markus; Heine, Christian; Reichenbach, André; Kerren, Andreas; Scheuermann, Gerik","The universe of biochemical reactions in metabolic pathways can be modeled as a complex network structure augmented with domain specific annotations. Based on the functional properties of the involved reactions, metabolic networks are often clustered into so-called pathways inferred from expert knowledge. To support the domain expert in the exploration and analysis process, we follow the well-known Table Lens metaphor with the possibility to select multiple foci. In this paper, we introduce a novel approach to generate an interactive layout of such a metabolic network taking its hierarchical structure into account and present methods for navigation and exploration that preserve the mental map. The layout places the network nodes on a fixed rectilinear grid and routes the edges orthogonally between the node positions. Our approach supports bundled edge routes heuristically minimizing a given cost function based on the number of bends, the number of edge crossings and the density of edges within a bundle.","network, layout, selection, focus and context",---
103,Multimodal Visualization with Interactive Closeups,Ropinski et al.,2009,"CT,MRI,PET",3,-3,-1,0,0,"Tissue, Organ",0,1,Anatomy,Method,"Structure analysis, Communication",0.25,0,0.75,1,"main goal to support doctor-doctor communication, explore images from multimodal acquisitions in a curated way",metabolic activity in whole body ,Body,Vis,"Compute a layout for 2D and 3D closeups, and how to edit a closeup configuration to prepare a presentation or a subsequent doctor-to-doctor communication",#NAME?,ropinski.jpg,"Ropinski, Timo; Viola, Ivan; Biermann, Martin; Hauser, Helwig; Hinrichs, Klaus","Closeups are used in illustrations to provide detailed views on regions of interest. They are integrated into the rendering of the whole structure in order to reveal their spatial context. In this paper we present the concept of interactive closeups for medical reporting. Each closeup is associated with a region of interest and may show a single modality or a desired combination of the available modalities using different visualization styles. Thus it becomes possible to visualize multiple modalities simultaneously and to support doctor-to-doctor communication on the basis of interactive multimodal closeup visualizations. We discuss how to compute a layout for 2D and 3D closeups, and how to edit a closeup configuration to prepare a presentation or a subsequent doctor-to-doctor communication. Furthermore, we introduce a GPU-based rendering algorithm, which allows to render multiple closeups at interactive frame rates. We demonstrate the application of the introduced concepts to multimodal PET/CT data sets additionally co-registered with MRI.","multimodal closeups, visual link, connecting spatial and nonspatial information",---
104,A visualization framework for the analysis of neuromuscular simulations,Pronost et al. ,2-11,"Simulation, MRI, Electromyography",3,-2,0,-3,0,"Organ, System*",0,1,Physiology,Tool,,0.5,0.5,0,1,framework to explore and analyze data sets from biomechanical and neuromuscular simulations,movement,"skeletal muscle, musculoskeletal system",biomechanics,"visual exploration of simulation and reconstructed volume data from MRI to understand drivers of motion for gait, crouch movements. includes IK tracking. Glyphcs encode direction and magnitude of data to understand dyanmics of movement. Can also compre muscle activation patterns to actual EMG signal (Electromyography (EMG) is a method for recording and evaluating the muscular activity)

""In this paper, we have presented a framework to create scientific visualizations of neuromuscular data. The visualizations are tightly integrated within the neuromuscular graphical user interface to ease interactions between data visualizations and simulations. Versatile information related to the different stages of a neuromuscular analysis can be explored and analyzed in a common framework. It has currently the ability to perform visualization of MR images, inverse kinematics errors, inverse dynamics torques, muscle activity, validation against EMG signals, FE simulations and sensitivity studies using adequate visual representations.""",,pronost.jpg,"Pronost, N.; Sandholm, A.; Thalmann, D.","We present a visualization framework for exploring and analyzing data sets from biomechanical and neuromuscular simulations. These data sets describe versatile information related to the different stages of a motion analysis. In studying these data using a 3D visualization approach, interactive exploring is important, especially for supporting spatial analysis. Moreover, as these data contain many various but related elements, numerical analysis of neuromuscular simulations is complicated. Visualization techniques enhance the analysis process, thus improving the effectiveness of the experiments. Our approach allows convenient definitions of relationships between numerical data sets and 3D objects. Scientific simulation data sets appropriate for this style of analysis are present everywhere motion analysis is performed and are predominant in many clinical works. In this paper, we outline the functionalities of the framework as well as applications embedded within the OpenSim simulation platform. These functionalities form an effective approach specifically designed for the investigation of neuromuscular simulations. This claim is supported by evaluation experiments where the framework was used to analyze gaits and crouch motions.",Scientific visualization; Biomechanics and neuromuscular simulation; Motion analysis; OpenSim software,--
105,E.O.Wilson's Life on Earth,"Ryan, McGill, Wilson",2014,Multiple,3,-9,-2,-9,0,"Molecule, Organelle, Cell, Tissue, Organ",1,1,Physiology,Survey,Comunication,0,0,0,0,illustration,Life,Body,Illustrator,"Book of life, with interactive animations",#NAME?,ryan.jpg,"Ryan, Morgan; McGill, Gael; Wilson, Edward O.","Designed to give students a deep understanding of the central topics of introductory biology, E. O. Wilson’s Life on Earth is a captivating iBooks Textbook presented as a seven-unit collection. In this first unit, we explore the unity of life by examining the shared features of all living things, inherited from a universal common ancestor. In addition, we look at the evolutionary mechanisms that—over the course of 3.5 billion years—created the countless species and forms of life that populate our diverse living planet. Each unit of the engagingly interactive E. O. Wilson’s Life on Earth features video, photo galleries, and Multi-Touch images and illustrations that inspire students to study, enjoy, and help protect the wonders of life on Earth.",illustration,---
106,Visualizing Spatiotemporal Dynamics of Multicellular Cell-Cycle Progression,Sakaue-Sawano et al.,2008,Microscope,2,-7,-4,3,5,"Cell, Tissue",0,0,Physiology,Method,Direct visualization,1,0,0,1,direct visualization,cell cycle regulation,Cell,Biology,"Sakaue et al. had proposed a novel method of coloring for fluorescence microscope, and to create a small multiple views of specific timesteps, to show an overall process of cell cycle progression.",#NAME?,sakaue.jpg,"Sakaue-Sawano, Asako; Kurokawa, Hiroshi; Morimura, Toshifumi; Hanyu, Aki; Hama, Hiroshi; Osawa, Hatsuki; Kashiwagi, Saori; Fukami, Kiyoko; Miyata, Takaki; Miyoshi, Hiroyuki; Imamura, Takeshi; Ogawa, Masaharu; Masai, Hisao; Miyawaki, Atsushi","The cell-cycle transition from G1 to S phase has been difficult to visualize. We have harnessed antiphase oscillating proteins that mark cell-cycle transitions in order to develop genetically encoded fluorescent probes for this purpose. These probes effectively label individual G1 phase nuclei red and those in S/G2/ M phases green. We were able to generate cultured cells and transgenic mice constitutively expressing the cell-cycle probes, in which every cell nucleus exhibits either red or green fluorescence. We performed time-lapse imaging to explore the spatiotemporal patterns of cell-cycle dynamics during the epithelial-mesenchymal transition of cultured cells, the migration and differentiation of neural progenitors in brain slices, and the development of tumors across blood vessels in live mice. These mice and cell lines will serve as model systems permitting unprecedented spatial and temporal resolution to help us better understand how the cell cycle is coordinated with various biological events.","small multiples, experimental coloring",---
107,Modeling Real-Time 3-D Lung Deformations for Medical Visualization,Santhanam et al.,2008,"CT, Simulation",3,-2,-1,0,2,Organ,0,1,Physiology,Model,"Process modeling,Direct visualization",1,0,0,1,direct visualization of lung model,lung dynamic,Lung,Vis,Physics based physiology based approach for modeling real time deformations of 3D high resolution lung models,#NAME?,santhanam.jpg,"Santhanam, Anand P.; Imielinska, Celina; Davenport, Paul; Kupelian, Patrick; Rolland, Jannick P.","In this paper, we propose a physics-based and physiology-based approach for modeling real-time deformations of 3-D high-resolution polygonal lung models obtained from highresolution computed tomography (HRCT) images of normal human subjects. The physics-based deformation operator is nonsymmetric, which accounts for the heterogeneous elastic properties of the lung tissue and spatial-dynamic flow properties of the air. An iterative approach is used to estimate the deformation with the deformation operator initialized based on the regional alveolar expandability, a key physiology-based parameter. The force applied on each surface node is based on the airflow pattern inside the lungs, which is known to be based on the orientation of the human subject. The validation of lung dynamics is done by resimulating the lung deformation and comparing it with HRCT data and computing force applied on each node derived from a 4-D HRCT dataset of a normal human subject using the proposed deformation operator and verifying its gradient with the orientation.",mesh,Study with more patient data
108,Understanding normal cardiac development using animated models,Schleich et al.,2002,Empirical,3,-3,-1,4,4,Organ,0,1,Anatomy,Model,"Process analysis, Comunication",0,0,1,1,designed for education/communication,development,Heart,Vis,Modeled the development of the heart through days.,#NAME?,schleich.jpg,"Schleich, Jean-Marc; Almange, Claude; Dillenseger, Jean-Louis; Coatrieux, Jean-Louis","Learning how the human heart develops is essential in cardiology education. It lets us understand a normal heart’s morphology and also explains the formation of congenital heart defects. However, learning cardiac embryology is difficult because the processes underlying the heart formation are complex. This complexity is caused by the fact that complicated organs like the heart are generated from only a couple of cells. Heart development isn’t easy to learn because students must understand the spatial arrangement of the anatomical structures and be able to perceive the dynamic evolution of these structures in its whole complexity. Students have traditionally studied heart development through either lectures or textbooks. But none of these teaching modalities adequately describes the spatiotemporal complexity of the heart’s development. To get an idea of the difficulty of such a description, see the sidebar “Development of Cardiac Outflow Tracts.” Classically, the descriptions are illustrated by sketches like Figure 1 that help us visualize or represent the spatiotemporal evolution of this phenomenon.1 However, such drawings and sketches aren’t effective because 2D pictures only give a partial impression of the objects’ geometry. Moreover, the dynamics of structural evolution can only be rendered with a limited sequence of static images. This inadequacy in representing complex spatial developments is a major limitation. As a result, researchers must undergo the tricky task of graphically illustrating the generation and temporal transformation of most cardiac structures. Fortunately, advanced computer graphics can provide substantial improvements for teaching medicine (see, for example, the special CG&Aissue on imaging in medical education2) by letting researchers design, model, visualize, and manipulate 3D objects as well as produce animated movies. This article shows how we created animated models to improve the understanding of the complex changes that occur during normal heart development.","mesh, animation",---
109,Visualizing dynamic molecular conformations,"Schmidt-Ehrenberg, Baum, Hege",2002,MD simulation,3,-10,-7,-15,-6,Molecule,0,1,Physiology,Method,"Process analysis, Structure analysis",0.75,0.25,0,1,additional encoding of derived data,Molecule conformation state,Molecule,Vis,"Method to visualize molecular conformal phase, a task that deals with the variation of molecular shape.",#NAME?,schmidt.jpg,"Schmidt-Ehrenberg, J.; Baum, D.; Hege, H.-C.","The bioactivity of a molecule strongly depends on its metastable conformational shapes and the transitions between these. Therefore, conformation analysis and visualization is a basic prerequisite for the understanding of biochemical processes. We present techniques for visual analysis of metastable molecular conformations. Core of these are flexibly applicable methods for alignment of molecular geometries, as well as methods for depicting shape and ""fuzziness"" of metastable conformations. All analysis tools are provided in an integrated working environment. The described techniques are demonstrated with pharmaceutically active biomolecules.","isosurface, color coded, representation combination",Alignment choice
110,Comparison of Metabolic Pathways Using Constraint Graph Drawing,Schreiber,2003,Pathway,2,-10,-6,-6,5,Molecule,0,1,None,Method,Process analysis,1,0,0,1,direct visualization,molecular pathway,---,Vis,A new approach for the visual comparison of metabolic pathways using a constraint graph drawing algorithm,#NAME?,schreiber.jpg,"Schreiber, Falk","Databases contain a large amount of data about metabolic pathways, in particular about similar pathways in different species. Biologists are familiar with visual representations of metabolic pathways. Visualizations help them to understand the complex relationships between the components of the pathways, to extract information from the data, and to compare pathways between different species. However, visual interfaces to metabolic pathway databases cannot cope well with the visual comparison of similar pathways in different species. This paper presents a new approach for the visual comparison of metabolic pathways using a constraint graph drawing algorithm. Using layout constraints the same parts of similar pathways in different species are placed side by side, thereby highlighting similarities and differences between these pathways. This visualization method can be used as a visual interface to databases and has been tested with data obtained from the BioPath system and from the KEGG database.","network, comparative visualization",---
111,Blood Flow Computation in Phase-Contrast MRI by Minimal Paths in Anisotropic Media,Schwenke et al.,2011,PC-MRI,3,-3,-1,-2,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,0.25,0.75,0,1,additional encoding of derived data,blood flow,Heart,Medical imaging,"Present the methodological basis for blood flow estimation based on minimal paths. Currently, the main application is uncertainty visualization for flow patterns",#NAME?,schwenke.jpg,"Schwenke, Michael; Hennemuth, Anja; Fischer, Bernd; Friman, Ola","In this paper, anisotropic Fast Marching is employed to compute blood flow trajectories as minimal paths in 3D phase-contrast MRI images. Uncertainty in the estimated blood flow vectors is incorporated in a tensor which is used as metric for the anisotropic Fast Marching. A flow connectivity distribution is computed simultaneously to the Fast Marching. Based on the connectivity distribution the most likely flow trajectories can be identified. Results are presented for several PC MRI data sets and the capability of the method to indicate uncertainty of the flow trajectories is shown.","flow visualization, pathlines, color coded","more experimentalwork, using for example physical flow phantoms or flow simulations, to further validate the method is required"
112,Spatio-temporal Visualization of Regional Myocardial Velocities,Sheharyar et al.,2016,MR TPM,2,-3,-2,-2,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,0,1,0,1,derived information into bullseye plot for visual analysis,heart beat (cardiac motion),Heart,Vis,"Sheharyar et al. have studied four different encodings of velocities in myocardium in bullseye layout visualization. Encodings are warp segments, pins, warped lines and warped lines and pins.",,sheharyar.jpg,"Sheharyar, A.; Chitiboi, T.; Keller, E.; Rahman, O.; Schnell, S.; Markl, M.; Bouhali, O.; Linsen, L.","Cardiovascular disease is the leading cause of death worldwide according to the World Health Organization (WHO). Nearly half of all heart failures occur due to the decline in the performance of the left ventricle (LV). Therefore, early detection, monitoring, and accurate diagnosis of LV pathologies are of critical importance. Usually, global cardiac function parameters are used to assess the cardiac structure and function, although regional abnormalities are important biomarkers of several cardiac diseases. Regional motion of the myocardium, the muscular wall of the LV, can be captured in a non-invasive manner using the velocity-encoded magnetic resonance (MR) imaging method known as Tissue Phase Mapping (TPM). To analyze the complex motion pattern, one typically visualizes for each time step the radial, longitudinal, and circumferential velocities separately according to the American Heart Association (AHA) model, which makes the comprehension of the spatio-temporal pattern an extremely challenging cognitive task. We propose novel spatio-temporal visualization methods for LV myocardial motion analysis with less cognitive load. Our approach uses coordinated views for navigating through the data space. One view visualizes individual time steps, which can be scrolled or animated, while a second view visualizes the temporal evolution using the radial layout of a polar plot for the time dimension. Different designs for visual encoding were considered in both views and evaluated with medical experts to demonstrate and compare their effectiveness and intuitiveness for detecting and analyzing regional abnormalities.","bullseye, warping, pins, lines",---
113,Real-time visualization of muscle stiffness distribution with ultrasound shear wave imaging during muscle contraction,Shinohara et al.,2010,Ultrasound,2,-3,-3,0,0,Tissue,0,1,Physiology,Method,Process analysis,1,0,0,1,direct visualization to explore data,Movement (muscle contraction),Muscle,Medicine,Direct visualization of muscle contraction,#NAME?,shinohara.jpg,"Shinohara, Minoru; Sabra, Karim; Gennisson, Jean-Luc; Fink, Mathias; Tanter, Mickaél",A stand-alone ultrasound shear wave imaging technology has been developed to quantify and visualize Young’s modulus distribution by remotely applying ultrasound radiation force and tracking the resulting microvibrations in soft tissues with ultrafast ultrasound imaging. We report the first preliminary data that detected the distribution of local muscle stiffness within and between resting and contracting muscles at different muscle lengths with this technology. This technique may assist clinicians in characterizing muscle injuries or neuromuscular disorders.,"slice rendering, color coded, heatmap",---
114,Visualizing Particle/Flow Structure Interactions in the Small Bronchial Tubes,"Soni, Thompson, Machijaru",2008,Simulation,3,-3,-2,-6,0,Organ,0,1,Physiology,Method,"Process analysis, Direct visualization",1,0,0,1,"direct visualization of particle trajector information; particle destination map (which shows the final position of a particle, in the form of a scalar field, as a function of the particle's release position) and FTLE map (finite-time Lyapunov exponent to characterize particle flow/structure interactions)---these methods are just different ways to map the data visually, from what I understand. Not really illustrative ",Breathing,Lung,Vis,Models for studying particle/flow structure interactions in bronchial tube,#NAME?,soni.jpg,"Soni, Bela; Thompson, David; Machiraju, Raghu","Particle deposition in the small bronchial tubes (generations six through twelve) is strongly influenced by the vortexdominated secondary flows that are induced by axial curvature of the tubes. In this paper, we employ particle destination maps in conjunction with two-dimensional, finite-time Lyapunov exponent maps to illustrate how the trajectories of finite-mass particles are influenced by the presence of vortices. We consider two three-generation bronchial tube models: a planar, asymmetric geometry and a non-planar, asymmetric geometry. Our visualizations demonstrate that these techniques, coupled with judiciously seeded particle trajectories, are effective tools for studying particle/flow structure interactions.","flow visualization, pathlines, color coded",---
115,Estimating Myocardial Motion by 4D Image Warping,"Sundar, Litt, Shen",2009,Cine MRI,3,-3,-1,-3,0,Organ,0,1,Physiology,Method,Process analysis,1,0,0,1,direct visualization,"Heart beat, wall motion",Heart,Medical imaging,"Typical cardiac motions are contraction, expansion and shear. Sundar et al. \cite{sundar:2009} proposed a method for spatio-temporally smooth and consistent estimation of cardiac motion from MR cine sequences. Unlike other approaches, that estimate myocardial motion by performing a series of deformable 3D registrations, the authors instead present it as a 4D registration problem, which makes the motion estimates temporally smooth and consistent.",#NAME?,sundar.jpg,"Sundar, Hari; Litt, Harold; Shen, Dinggang","A method for spatio-temporally smooth and consistent estimation of cardiac motion from MR cine sequences is proposed. Myocardial motion is estimated within a 4-dimensional (4D) registration framework, in which all 3D images obtained at different cardiac phases are simultaneously registered. This facilitates spatio-temporally consistent estimation of motion as opposed to other registrationbased algorithms which estimate the motion by sequentially registering one frame to another. To facilitate image matching, an attribute vector (AV) is constructed for each point in the image, and is intended to serve as a “morphological signature” of that point. The AV includes intensity, boundary, and geometric moment invariants (GMIs). Hierarchical registration of two image sequences is achieved by using the most distinctive points for initial registration of two sequences and gradually adding less-distinctive points to refine the registration. Experimental results on real data demonstrate good performance of the proposed method for cardiac image registration and motion estimation. The motion estimation is validated via comparisons with motion estimates obtained from MR images with myocardial tagging.","3D view, slice rendering, color coded",---
116,Towards a model of lung biomechanics: pulmonary kinematics via registration of serial lung images,Sundaram et al.,2005,"CT, MRI",3,-3,-1,-3,0,Organ,0,1,Physiology,Method,Process analysis,1,0,0,1,direct visualization of model,breathing,Lung,Medical imaging,an approach toward the quantification of pulmonary deformation via non-rigid registration of serial MR images of the lung using the variational framework,#NAME?,sundaram.jpg,"Sundaram, Tessa A.; Gee, James C.","The lungs are highly elastic organs, composed of a variety of structures: vasculature, airways and parenchyma. The unique mechanical properties of each of these structures form the composite material of the lung. Numerous pulmonary diseases affect these material properties. Clinically, these structural changes cannot be directly quantified. However, medical imaging modalities such as computed tomography and magnetic resonance imaging can be used to observe lung morphology. It would be helpful to be able to correlate regional morphological changes with changes in pulmonary function. We present an approach toward the quantification of pulmonary deformation via non-rigid registration of serial MR images of the lung using the variational framework implemented in the Insight toolkit. Conventional registration methods, as exemplified by a finite element implementation of the classic elastic matching technique, are shown to perform well over a set of vascular landmarks in the measurement of lung motion. This performance is maintained in an augmented system, which combines inhomogeneous material properties with the use of domain discretizations tailored to reflect the apparent geometry within the image and to reduce background effects. These adaptations lay the groundwork for biomechanical modeling of the lung using the finite element method.","flow visualization, slice rendering, color coded, arrows",---
117,Creating and Simulating Skeletal Muscle from the Visible Human Data Set,Teran et al.,2005,VHD,3,-3,-2,-2,0,Organ,0,1,Physiology,Model,Process simulation,1,0,0,1,direct visualization,Muscle dynamics,Muscle,Vis,"The creation of highly detailed geometry as well as for realistic anisotropies and heterogeneities. Additionally, realistic dynamic deformations are produced from a transversely isotropic muscle constitutive model",#NAME?,teran.jpg,"Teran, Joseph; Sifakis, Eftychios; Blemker, Silvia S.; Ng-Thow-Hing, Victor; Lau, Cynthia; Fedkiw, Ronald","Simulation of the musculoskeletal system has important applications in biomechanics, biomedical engineering, surgery simulation and computer graphics. The accuracy of the muscle, bone and tendon geometry as well as the accuracy of muscle and tendon dynamic deformation are of paramount importance in all these applications. We present a framework for extracting and simulating high resolution musculoskeletal geometry from the segmented visible human data set. We simulate 30 contact/collision coupled muscles in the upper limb and describe a computationally tractable implementation using an embedded mesh framework. Muscle geometry is embedded in a non-manifold, connectivity preserving simulation mesh molded out of a lower resolution BCC lattice containing identical, well-shaped elements leading to a relaxed time step restriction for stability and thus reduced computational cost. The muscles are endowed with a transversely isotropic, quasi-incompressible constitutive model that incorporates muscle fiber fields as well as passive and active components. The simulation takes advantage of a new robust finite element technique that handles both degenerate and inverted tetrahedra.","mesh, animation","More realistic muscle constitutive models that include the force/velocity relationship, time dependent elasticity changes noted in as well as anisotropic shear behavior relative to the fiber axis can be used when examining more specific phenomena on a smaller scale such as nonuniform contraction of the biceps"
118,CoViCAD: Comprehensive Visualization of Coronary Artery Disease,Termeer et al.,2007,"CT, Simulation",3,-3,-1,-2,0,"Tissue, Organ",0,1,"Physiology, Anatomy ",Model,Process simulation,0,1,0,1,visual analysis,blood flow (perfusion to heart tissue),Heart,Vis,"method for the exploration of perfusion on the cardiac muscle. The perfusion information is mapped on the surface of the heart muscle, and that was projected into bulls eye layout, heavily used in medicine practice nowadays.",#NAME?,termeer2008.jpg,"Termeer, Maurice; Bescós, Javier Oliván; Breeuwer, Marcel; Vilanova, Anna; Gerritsen, Frans; Gröller, M. Eduard","We present novel, comprehensive visualization techniques for the diagnosis of patients with coronary artery disease using segmented cardiac MRI data. We extent an accepted medical visualization technique called the bull's eye plot by removing discontinuities, preserving the volumetric nature of the left ventricular wall and adding anatomical context. The resulting volumetric bull's eye plot can be used for the assessment of transmurality. We link these visualizations to a 3D view that presents viability information in a detailed anatomical context. We combine multiple MRI scans (whole heart anatomical data, late enhancement data) and multiple segmentations (polygonal heart model, late enhancement contours, coronary artery tree). By selectively combining different rendering techniques we obtain comprehensive yet intuitive visualizations of the various data sources.","3D to 2D, bullseye, comparative visualization, color coded",---
119,Interactive Exploration of Polymer-Solvent Interactions,Thomaß et al.,2011,MD simulation,3,-10,-7,-15,-6,Molecule,0,1,Physiology,Method,Process analysis,0.5,0.5,0,1,direct visualization of molecule shape woth encoding for visual analysis,Molecular interaction,Molecule,Vis,"Reaction possibilities are color encoded in the molecular surface \cite{thomass:2011} with special regard to polymer/ solvent interactions. Here, polymer is represented by a colored semi-transparent isosurface with glyphs depicting solvents around it.",#NAME?,thomass.jpg,"Thomaß, Bertram; Walter, Jonathan; Krone, Michael; Hasse, Hans; Ertl, Thomas","The interaction of three-dimensional linked hydrophilic polymers with surrounding solvents in time-dependent data sets is of great interest for domain experts and current research in molecular dynamics. These polymers are called hydrogels, and their most characteristic property is their swelling in aqueous solutions by absorbing the solvent. Their conformation transition can be studied by investigations of the interaction of the single polymer strand and the solvent directly around the polymer at an atomistic level. We present new visualization techniques to interactively study time-dependent data sets from molecular dynamics simulations-with special regard to polymer/ solvent interactions like local concentrations and hydrogen bonds-as well as filtering methods to facilitate analysis. Such methods that visualize polymer/solvent interactions on a hydration shell around a polymer are not available in current tools and can greatly facilitate the visual analysis, which helps domain experts to extract additional information about hydrogel characteristics and gain new insights from the simulation results. While our visual analysis methods presented in this paper clearly facilitate the analysis of hydrogels and lead to new insight, the presented concepts are applicable to other domains like proteins or polymers in general that interact with solvents.","isosurface, color coded, representation combination, glyphs",Additional parameters to analyze
120,Normalized Cut Group Clustering of Resting-State fMRI Data,"Van Den Heuvel, Mandl, Pol",2008,fMRI,3,-3,-1,-2,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,1,0,0,1,direct visualization,brain activation,Brain,Neuroscience,a voxel based model-free normalized cut graph clustering approach with whole brain coverage for group analysis of resting-state data,#NAME?,vanDenHeuvel.jpg,"Van Den Heuvel, Mandl, Pol","Background: Functional brain imaging studies have indicated that distinct anatomical brain regions can show coherent spontaneous neuronal activity during rest. Regions that show such correlated behavior are said to form resting-state networks (RSNs). RSNs have been investigated using seed-dependent functional connectivity maps and by using a number of model-free methods. However, examining RSNs across a group of subjects is still a complex task and often involves human input in selecting meaningful networks. Methodology/Principal Findings: We report on a voxel based model-free normalized cut graph clustering approach with whole brain coverage for group analysis of resting-state data, in which the number of RSNs is computed as an optimal clustering fit of the data. Inter-voxel correlations of time-series are grouped at the individual level and the consistency of the resulting networks across subjects is clustered at the group level, defining the group RSNs. We scanned a group of 26 subjects at rest with a fast BOLD sensitive fMRI scanning protocol on a 3 Tesla MR scanner. Conclusions/Significance: An optimal group clustering fit revealed 7 RSNs. The 7 RSNs included motor/visual, auditory and attention networks and the frequently reported default mode network. The found RSNs showed large overlap with recently reported resting-state results and support the idea of the formation of spatially distinct RSNs during rest in the human brain.","volume, slice rendering, color coded",---
121,Exploration of 4D MRI Blood Flow using Stylistic Visualization,van Pelt et al.,2010,MRI,3,-3,-2,-2,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,0,0.25,0.75,1,"illustrative visualization approach applied to clearly convey properties of blood flow using visual abstraction, visual analysis",blood flow,Heart,Vis,Using illustrative techniques to visualize 4D blood flow information,#NAME?,pelt2010.jpg,"Pelt, R. van; Bescos, J. Olivan; Breeuwer, M.; Clough, R. E.; Gröller, E.; Romenij, B. ter Haar; Vilanova, A.","Insight into the dynamics of blood-flow considerably improves the understanding of the complex cardiovascular system and its pathologies. Advances in MRI technology enable acquisition of 4D blood-flow data, providing quantitative blood-flow velocities over time. The currently typical slice-by-slice analysis requires a full mental reconstruction of the unsteady blood-flow field, which is a tedious and highly challenging task, even for skilled physicians. We endeavor to alleviate this task by means of comprehensive visualization and interaction techniques. In this paper we present a framework for pre-clinical cardiovascular research, providing tools to both interactively explore the 4D blood-flow data and depict the essential blood-flow characteristics. The framework encompasses a variety of visualization styles, comprising illustrative techniques as well as improved methods from the established field of flow visualization. Each of the incorporated styles, including exploded planar reformats, flow-direction highlights, and arrow-trails, locally captures the blood-flow dynamics and may be initiated by an interactively probed vessel cross-section. Additionally, we present the results of an evaluation with domain experts, measuring the value of each of the visualization styles and related rendering parameters.","flow visualization, arrows, pathlines, color coded","Other illustrative techniques such as the line perception could be enhanced by means of shadows or halo effects. Additionally, more elaborate opacity mappings could be applied to the presented line primitives, highlighting only the curves that portray certain properties of interest."
