ID;Author;Title;Year;Data Origin;Visual Dim;Space Scale Start;Space Scale Finish;Time Scale Start;Time Scale Finish;Level;Multi scale;Human;Phys/Anat;Survey model method tool;Old Purpose;Direct Vis;Vis analysis;Illus Vis;Purpose test;Purpose comment;Process;Structure;Origin;Concept;Ref. Image;Image Name;Bibtex Authors;Abstract;Keywords;Future work
72;Kindlmann, Westin;Diffusion tensor visualization with glyph packing;2006;MRI;3;-3;-2;---;---;Organ;0;1;Anatomy;Method;Structure analysis;0;0.5;0.5;1;visual analysis of summarized data;---;Brain;Vis;Glyph packing uses a particle system with anisotropic potential energy profiles to arrange glyphs into a dense pattern that displays some of the visual continuity of texture-based visualizations, while maintaining the ability to discern the full tensor information at each glyph;#NAME?;kindlmann.jpg;Gordon Kindlmann, Carl-Fredrik Westin;A common goal of multivariate visualization is to enable data inspection at discrete points, while also illustrating largerscale continuous structures. In diffusion tensor visualization, glyphs are typically used to meet the first goal, and methods such as texture synthesis or fiber tractography can address the second. We adapt particle systems originally developed for surface modeling and anisotropic mesh generation to enhance the utility of glyph-based tensor visualizations. By carefully distributing glyphs throughout the field (either on a slice, or in the volume) into a dense packing, using potential energy profiles shaped by the local tensor value, we remove undue visual emphasis of the regular sampling grid of the data, and the underlying continuous features become more apparent. The method is demonstrated on a DT-MRI scan of a patient with a brain tumor.;glyphs, particles;Extend the glyph packing method to sample implicit surfaces in the field, either isosurfaces of important tensor attributes (such as anisotropy), or distance volumes around segmented objects of interest (such as tumors).
73;Kingman;Our Resilient Genome;2014;PDB;3;-9;-9;-9;-9;Molecule;0;1;Physiology;Model;Comunication;0;0;1;1;illustration;DNA repair;DNA;Illustrator;Diffusion movement of molecules can be in micro-seconds and thus impossible for human visual perception to conceive. Animations are than representing different sampling of the process state. This can be created offline, for example Kingman have created  a short science animation of DNA repair;#NAME?;kingman.jpg;Pina Kingman;Our Resilient Genome is a short science animation by filmmaker Pina Kingman. It was developed as part of the PhysioIllustration Project with the Visualization Group, Department of Informatics at the University of Bergen. The aim of this project is to research novel visual communication techniques and advance knowledge translation methods, specifically in the field of molecular and cellular biology. This research culminated in the creation of a short film describing DNA Repair and is intended for the general public. In addition to showcasing our novel visual communication methods, the film also highlights research undertaken by the Department of Molecular Biology, UiB. The film tells the story of our DNA, how it is constantly breaking and rebuilding over and over again to keep us alive, and provides a  glimpse into the fascinating world of cellular biology.;illustrative animation;---
74;Klinder, Lorenz, Ostermann;Prediction framework for statistical respiratory motion modeling;2010;CT;3;-2;-2;0;0;Organ;0;1;Physiology;Model;Process modeling;1;0;0;1;modeling and direct visualization;breathing;Lung;Vis;A statistical motion model can help to overcome the problems caused by breathing;#NAME?;klinder.jpg;Tobias Klinder, Cristian Lorenz, Jorn Ostermann;Breathing motion complicates many image-guided interventions working on the thorax or upper abdomen. However, prior knowledge provided by a statistical breathing model, can reduce the uncertainties of organ location. In this paper, a prediction framework for statistical motion modeling is presented and different representations of the dynamic data for motion model building of the lungs are investigated. Evaluation carried out on 4D-CT data sets of 10 patients showed that a displacement vector-based representation can reduce most of the respiratory motion with a prediction error of about 2 mm, when assuming the diaphragm motion to be known.;volume, mesh, combination rendering;---
75;Kohler et al.;Semi-automatic vortex extraction in 4D PC-MRI cardiac blood flow data using line predicates;2013;MRI;3;-3;-2;0;0;Organ;0;1;Physiology;Method;Process analysis;0;1;0;1;derivation, illustrative summarization of the data;Vortex flow in aorta;Aorta;Vis;Kohler et al. proposed an aproach for extraction of vortex flow in the aorta and pulmonary artery incorporating line predicates from 4D PC-MRI. Their method was tested for the extension of existing diagnosis of cardio-vascular diseases.;#NAME?;kohler.jpg;Benjamin Kohler, Rocco Gasteiger, Uta Preim, Holger Theisel, Matthias Gutberlet, and Bernhard Preim;Cardiovascular diseases (CVD) are the leading cause of death worldwide. Their initiation and evolution depends strongly on the blood flow characteristics. In recent years, advances in 4D PC-MRI acquisition enable reliable and time-resolved 3D flow measuring, which allows a qualitative and quantitative analysis of the patient-specific hemodynamics. Currently, medical researchers investigate the relation between characteristic flow patterns like vortices and different pathologies. The manual extraction and evaluation is tedious and requires expert knowledge. Standardized, (semi-)automatic and reliable techniques are necessary to make the analysis of 4D PC-MRI applicable for the clinical routine. In this work, we present an approach for the extraction of vortex flow in the aorta and pulmonary artery incorporating line predicates. We provide an extensive comparison of existent vortex extraction methods to determine the most suitable vortex criterion for cardiac blood flow and apply our approach to ten datasets with different pathologies like coarctations, Tetralogy of Fallot and aneurysms. For two cases we provide a detailed discussion how our results are capable to complement existent diagnosis information. To ensure real-time feedback for the domain experts we implement our method completely on the GPU.;flow visualization, arrows, pathlines, line predicates, filtering;Extending by reliable segmentation
76;Kolesar et al.;Interactively illustrating polymerization using three-level model fusion;2014;Simulation;3;-9;-8;-9;0;Molecule;1;1;Physiology;Method, Model;Process analysis;0;0;1;1;Illustrative animation;DNA repair;Nucleotid;Vis;Illustrative animation model to show the emergence of the tree-like structures. The authors have proposed an illustrative model showing the process of polymerization in time scale ranging from nanoseconds to seconds. Model allows to steer the environment of the simulation and better explore and understand this complex process.;#NAME?;kolesar.jpg;Ivan Kolesar, Julius Parulek, Ivan Viola, Stefan Bruckner, Anne-Kristin Stavrum, and Helwig Hauser;Background: Research in cell biology is steadily contributing new knowledge about many aspects of physiological processes, both with respect to the involved molecular structures as well as their related function. Illustrations of the spatio-temporal development of such processes are not only used in biomedical education, but also can serve scientists as an additional platform for in-silico experiments. Results: In this paper, we contribute a new, three-level modeling approach to illustrate physiological processes from the class of polymerization at different time scales. We integrate physical and empirical modeling, according to which approach best suits the different involved levels of detail, and we additionally enable a form of interactive steering, while the process is illustrated. We demonstrate the suitability of our approach in the context of several polymerization processes and report from a first evaluation with domain experts. Conclusion: We conclude that our approach provides a new, hybrid modeling approach for illustrating the process of emergence in physiology, embedded in a densely filled environment. Our approach of a complementary fusion of three systems combines the strong points from the different modeling approaches and is capable to bridge different spatial and temporal scales.;illustrative animation;---
77;Kolesar et al.;Unfolding and Interactive Exploration of Protein Tunnels and their Dynamics;2016;Simulation,PDB;2;-9;-9;-12;-9;Molecule;0;1;Physiology;Method;Process analysis;0;0.75;0.25;1;visual analysis;protein tunnel dynamics;Molecule;Vis;The authors have introduced an explorative method of unfolded tunnel representation to get a more detailed visualization of the amino acids areas of influence in the tunnel.;#NAME?;kolesar.2016.jpg;Ivan Kolesar, Jan Byska, Julius Parulek, Helwig Hauser, and Barbora Kozlikova;The presence of tunnels in protein structures substantially influences their reactivity with other molecules. Therefore, studying their properties and changes over time has been in the scope of biochemists for decades. In this paper we introduce a novel approach for the comparative visualization and exploration of ensembles of tunnels. Our goal is to overcome occlusion problems with traditional tunnel representations while providing users a quick way to navigate through the input dataset and to identify potentially interesting tunnels. First, we unfold the input tunnels to a 2D representation enabling to observe the mutual position of amino acids forming the tunnel surface and the amount of surface they influence. These 2D images are subsequently described by image moments commonly used in image processing. This way we are able to detect similarities and outliers in the dataset, which are visualized as clusters in a scatterplot graph. The same coloring scheme is used in the linked bar chart enabling to detect the position of the cluster members over time. These views provide a way to select a subset of potentially interesting tunnels that can be further explored in detail using the 2D unfolded view and also traditional 3D representation. The usability of our approach is demonstrated by case studies conducted by domain experts.;spatial abstraction, visual analysis, brushing;---
78;Krekel et al.;Interactive simulation and comparative visualisation of the bone-determined range of motion of the human shoulder;2006;motion tracking;3;-3;-3;-2;0;Organ;0;1;Physiology;Method, Model;Process analysis;0.25;0.75;0;1;Comparative visualization with the shoulder bone as spatial reference;Shoulder movement;Shoulder;Vis;Comparative visualization with the shoulder bone as spatial reference;#NAME?;krekel2006.jpg;Peter R. Krekel,_x0003_ Charl P. Botha,_x0003_ Edward R. Valstar, Paul W. de Bruin, P.M. Rozing, and Frits H. Post;Pre-operative planning systems aid clinicians by giving insight into patient-specific issues before surgery is performed. The ability to perform a virtual shoulder replacement procedure enables the surgeon to explore the probable and plausible outcomes. Pre-operative planning software assists the surgeon in this complex decision-making process. In our prototype pre-operative planning system for shoulder replacement, we create patient-specific bone-determined range of motion (ROM) predictions based on collision detection using segmented CT-data. The gleno-humeral ROM is visualised with motion envelopes, that indicate the maximum range of motion of the humerus in every direction. The prosthesis placement parameters can be adjusted interactively in our simulator, during which a novel visualisation technique depicts the differences between the current and previous range of motion. In this paper we present a fast and efficient method for highly interactive visualisation of collision detection based ROM for the gleno-humeral joint. We are able to show in real-time the consequences of adjustments made to a planned shoulder prosthesis alignment by using geometry clipping-based optimisation, as well as precalculation and interpolation techniques.;visual analysis, comparative visualization;
79;Krekel et al.;Visual Analysis of Multi-Joint Kinematic Data;2010;motion tracking;3;-3;-3;-2;0;Organ;0;1;Physiology;Method;Process analysis;0;1;0;1;visual analysis solution for kinetic data;Shoulder movement;Shoulder;Vis;Visual analytics solution for visualization of kinetic data;#NAME?;krekel2010.jpg;Peter R. Krekel, Edward R. Valstar, Jurriaan de Groot, Frits H. Post, Rob G. H. H. Nelissen, and Charl P. Botha;Kinematics is the analysis of motions without regarding forces or inertial effects, with the purpose of understanding joint behaviour. Kinematic data of linked joints, for example the upper extremity, i.e. the shoulder and arm joints, contains many related degrees of freedom that complicate numerical analysis. Visualisation techniques enhance the analysis process, thus improving the effectiveness of kinematic experiments. This paper describes a new visualisation system specifically designed for the analysis of multi-joint kinematic data of the upper extremity. The challenge inherent in the data is that the upper extremity is comprised of five cooperating joints with a total of fifteen degrees of freedom. The range of motion may be affected by subtle deficiencies of individual joints that are difficult to pinpoint. To highlight these subtleties our approach combines interactive filtering and multiple visualisation techniques. Our system is further differentiated by the fact that it integrates simultaneous acquisition and visual analysis of biokinematic data. Also, to facilitate complex queries, we have designed a visual query interface with visualisation and interaction elements that are based on the domain-specific anatomical representation of the data. The combination of these techniques form an effective approach specifically tailored for the investigation and comparison of large collections of kinematic data. This claim is supported by an evaluation experiment where the technique was used to inspect the kinematics of the left and right arm of a patient with a healed proximal humerus fracture, i.e. a healed shoulder fracture;visual analysis;
80;Krishnan et al.;Analysis of time-dependent flow-sensitive PC-MRI data;2012;PC-MRI;3;-3;-2;-3;0;Organ;0;1;Physiology;Method;Process analysis;0;0.25;0.75;1;summarization method of derived data;blood flow;Aorta;Vis;Apply integration-based flow visualization methods to PC-MRI data, and the methods described are aimed at supporting the investigation of specific questions arising in a diagnostic context.;#NAME?;krishna.jpg;Harinarayan Krishnan, Christoph Garth, Jens Guhring, M. Akif Gulsun, Andreas Greiser, Kenneth I. Joy;Many flow visualization techniques, especially integration-based methods, are problematic when the measured data exhibit noise and discretization issues. Particularly, this is the case for flow-sensitive phase-contrast magnetic resonance imaging (PC-MRI) data sets which not only record anatomic information, but also time-varying flow information. We propose a novel approach for the visualization of such data sets using integration-based methods. Our ideas are based upon finite-time Lyapunov exponents (FTLE) and enable identification of vessel boundaries in the data as high regions of separation. This allows us to correctly restrict integration-based visualization to blood vessels. We validate our technique by comparing our approach to existing anatomy-based methods as well as addressing the benefits and limitations of using FTLE to restrict flow. We also discuss the importance of parameters, i.e., advection length and data resolution, in establishing a well-defined vessel boundary. We extract appropriate flow lines and surfaces that enable the visualization of blood flow within the vessels. We further enhance the visualization by analyzing flow behavior in the seeded region and generating simplified depictions.;flow visualization, integral lines, integral surfaces, isosurface;Add the capability of computing and visualizing parameters such as wall shear stress, pressure differences, peak velocity, and many other parameters significant to the medical community
81;Krone et al.;Molecular Surface Maps;2016;Simulation, PDB;3;-9;-9;-11;-9;Molecule;0;1;Physiology;Method;Process analysis;0;0.5;0.5;1;a novel 2D representation of the molecular surface;molecular dynamics;molecule;Vis;A novel representation for the exploration of the molecular surface, which abstracts part of the spatial information in order to  create a 2D map. This way the authors have gained a free space for creating space-time cube, and to overcome occlusion. ;#NAME?;krone.jpg;Michael Krone_x001f_, Florian Frieß_x001f_, Katrin Scharnowski, Guido Reina, Silvia Fademrecht, Tobias Kulschewski, Jurgen Pleiss, and Thomas Ertl;We present Molecular Surface Maps, a novel, view-independent, and concise representation for molecular surfaces. It transfers the well-known world map metaphor to molecular visualization. Our application maps the complex molecular surface to a simple 2D representation through a spherical intermediate, the Molecular Surface Globe. The Molecular Surface Map concisely shows arbitrary attributes of the original molecular surface, such as biochemical properties or geometrical features. This results in an intuitive overview, which allows researchers to assess all molecular surface attributes at a glance. Our representation can be used as a visual summarization of a molecule’s interface with its environment. In particular, Molecular Surface Maps simplify the analysis and comparison of different data sets or points in time. Furthermore, the map representation can be used in a Space-time Cube to analyze time-dependent data from molecular simulations without the need for animation. We show the feasibility of Molecular Surface Maps for different typical analysis tasks of biomolecular data.;2D mapping, time cube;Contour lines based on the elevation.
82;Kulp et al.;Patient-Specific Modeling and Visualization of Blood Flow Through the Heart;2011;CT;3;-3;-2;-1;0;Organ;0;1;Physiology;Model;Process analysis;0.5;0;0.5;1;use high-resolution 4D CT data to model the heart walls, accurately simulate blood flow, and visualize it;moving heart;;Medical Imaging;During arrhythmia even the blood flow through the heart changes its properties. Kulp et al. \cite{kulp:2011} have created a heart model from 4D CT data, and blood flow through the heart. The authors proposed a cut visualization of the heart with glyph representation of the flow in the heart. There they are able to detect vorticity, and pressure inside the heart, to detect whether the blood is not stagnant in the separate stages of the heartbeat process.;#NAME?;kulp.jpg;Scott Kulp, Dimitris Metaxas, Zhen Qian, Szilard Voros, Leon Axel, Viorel Mihalef;Many cardiovascular diseases, such as ischemia and arrhythmia, will cause abnormal motion of the myocardium, leading to a change of the blood flow pattern in the heart and an increased risk of the formation of thrombus. In this paper, we propose a new method to use high-resolution 4D CT data to model the complex moving boundaries of the heart walls, accurately simulate blood flow using the Navier-Stokes equations, and visualize the flow in order to view interactions between the heart walls and the fluid. We then visually and quantitatively compare the flow in a normal heart to that of a heart suffering from hypokinesis, and see how the diseased heart is at greater risk of blood clotting. In a clinical setting, these types of visualizations could prove to be invaluable, allowing doctors to more easily diagnose and prescribe treatments for certain conditions.;flow visualization, arrows, pathlines;Use method on the sick patients
83;Lasserre et al.;A neuron membrane mesh representation for visualization of electrophysiological simulations;2012;Microscope,Simulation;3;-6;-4;---;---;Cell;0;1;Anatomy;Method;Process simulation;1;0;0;1;mesh representation of the data;---;Neurons;Vis;A process to automatically generate three-dimensional mesh representations of the complex, arborized cell membrane surface of cortical neurons.;#NAME?;lasserre.jpg;Sebastien Lasserre, Juan Hernando, Sean Hill, Felix Schurmann, Pedro de Miguel Anasagasti, Georges Abou Jaoude, and Henry Markram;We present a process to automatically generate three-dimensional mesh representations of the complex, arborized cell membrane surface of cortical neurons (the principal information processing cells of the brain) from nonuniform morphological measurements. Starting from manually sampled morphological points (3D points and diameters) from neurons in a brain slice preparation, we construct a polygonal mesh representation that realistically represents the continuous membrane surface, closely matching the original experimental data. A mapping between the original morphological points and the newly generated mesh enables simulations of electrophysiolgical activity to be visualized on this new membrane representation. We compare the new mesh representation with the state of the art and present a series of use cases and applications of this technique to visualize simulations of single neurons and networks of multiple neurons.;mesh, color coded;handle other neuron classes from throughout the brain
84;Lawonn, Gunther, Preim;Coherent View-Dependent Streamlines for Understanding Blood Flow;2014;PC-MRI;3;-3;-2;0;2;Organ;0;1;Physiology;Method;Process analysis;0.25;0;0.75;1;expressive visualization of blood flow;Blood flow;;Vis;Lawoon et al. have adopted a suggestive contour method for the visualization of streamlines in blood flow.;#NAME?;lawon.jpg;Kai Lawonn, Tobias Günther, and Bernhard Preim;The expressive visualization of (time-dependent) 3D blood flow along with the vessel wall is essential for understanding vascular diseases. However, the high complexity of the underlying flow data makes the exploration challenging. For the biomedical research, it is necessary to provide methods that allow for rapid flow comprehension, ideally by emphasizing relevant flow characteristics. Therefore, we present a fast approach that visualizes streamlines in a view-dependent way, while taking relevant flow features into consideration. For this, we adapt a well-established non-photorealistic rendering technique - suggestive contours - for surface meshes to streamline illustrations. The advantages of our approach are confirmed in an informal user feedback with domain experts, who were able to comprehend the overall flow behavior faster.;flow visualization, illuminated streamlines;Analyze different light positions effect
85;Lawonn, Gasteiger, Preim;Adaptive Surface Visualization of Vessels with Animated Blood Flow;2014;PC-MRI;3;-3;-2;0;2;Organ;0;1;Physiology;Method;Process analysis;0;0;1;1;adaptive surface visualization with animated blood flow;Blood flow;Vessels;Vis;A method, which combines several illustrative techniques to enhance a perception of surface and depths. Additionally the method shows an animation of blood flow.;#NAME?;lawoon2014.jpg;Kai Lawonn, Rocco Gasteiger and Bernhard Preim;The investigation of hemodynamic information for the assessment of cardiovascular diseases (CVDs) gained importance in recent years. Improved flow measuring modalities and computational fluid dynamics (CFD) simulations yield in reliable blood flow information. For a visual exploration of the flow information, domain experts are used to investigate the flow information combined with its enclosed vessel anatomy. Since the flow is spatially embedded in the surrounding vessel surface, occlusion problems have to be resolved. A visual reduction of the vessel surface that still provides important anatomical features is required. We accomplish this by applying an adaptive surface visualization inspired by the suggestive contour measure. Furthermore, an illustration is employed to highlight the animated pathlines and to emphasize nearby surface regions. Our approach combines several visualization techniques to improve the perception of surface shape and depth. Thereby, we ensure appropriate visibility of the embedded flow information, which can be depicted with established or advanced flow visualization techniques. We apply our approach to cerebral aneurysms and aortas with simulated and measured blood flow. An informal user feedback with nine domain experts, we confirm the advantages of our approach compared with existing methods, e.g. semi-transparent surface rendering. Additionally, we assessed the applicability and usefulness of the pathline animation with highlighting nearby surface regions.;flow visualization, semi-transparent surface, animation;Do user study
86;Lawonn et al.;Occlusion-free Blood Flow Animation with Wall Thickness Visualization;2016;CT, MRI, US;3;-3;-2;0;2;Organ;0;1;Physiology;Method;Process analysis;0;0.25;0.75;1;illustrative visualization of pathline from blood flow and wall thickness;Blood flow;Veins;Vis;Visualization that combines pathlines from blood flow and wall thickness information. The method uses illustrative techniques to provide occlusion-free visualization of the flow.;#NAME?;lawonn2016.jpg;Kai Lawonn, Sylvia Glaßer, Anna Vilanova, Bernhard Preim, and Tobias Isenberg;We present the first visualization tool that combines pathlines from blood flow and wall thickness information. Our method uses illustrative techniques to provide occlusion-free visualization of the flow. We thus offer medical researchers an effective visual analysis tool for aneurysm treatment risk assessment. Such aneurysms bear a high risk of rupture and significant treatment-related risks. Therefore, to get a fully informed decision it is essential to both investigate the vessel morphology and the hemodynamic data. Ongoing research emphasizes the importance of analyzing the wall thickness in risk assessment. Our combination of blood flow visualization and wall thickness representation is a significant improvement for the exploration and analysis of aneurysms. As all presented information is spatially intertwined, occlusion problems occur. We solve these occlusion problems by dynamic cutaway surfaces. We combine this approach with a glyph-based blood flow representation and a visual mapping of wall thickness onto the vessel surface. We developed a GPU-based implementation of our visualizations which facilitates wall thickness analysis through real-time rendering and flexible interactive data exploration mechanisms. We designed our techniques in collaboration with domain experts, and we provide details about the evaluation of the technique and tool.;flow visualization, pathlines, cutaway, glyphs;More interaction to get to the original data
87;Le Muzic et al.;Illustrative Visualization of Molecular Reactions using Omniscient Intelligence and Passive Agents;2014;Simulation,PDB;3;-6;-6;-3;-3;Molecule;0;1;Physiology;Method;Comunication;0;0;1;1;illustrative method to show a process;Molecular reaction;NAD pathway;Vis;Simulation and visualization of molecular reaction from pathway;#NAME?;lemuzic2014.jpg;M. Le Muzic, J. Parulek, A. K. Stavrum, and I. Viola;In this paper we propose a new type of a particle systems, tailored for illustrative visualization purposes, in particular for visualizing molecular reactions in biological networks. Previous visualizations of biochemical processes were exploiting the results of agent-based modeling. Such modeling aims at reproducing accurately the stochastic nature of molecular interactions. However, it is impossible to expect events of interest happening at a certain time and location, which is impractical for storytelling. To obtain the means of controlling molecular interactions, we propose to govern passive agents with an omniscient intelligence, instead of giving to the agents the freedom of initiating reaction autonomously. This makes it possible to generate illustrative animated stories that communicate the functioning of the molecular machinery. The rendering performance delivers for interactive framerates of massive amounts of data, based on the dynamic tessellation capabilities of modern graphics cards. Finally, we report an informal expert feedback we obtained from the potential users.;particles, illustrative animation;Collision detection
88;Le Muzic et al.;Illustrative Timelapse: A technique for illustrative visualization of particle-based simulations;2015;Simulation, PDB;3;-6;-6;-9;-4;Molecule;1;1;Physiology;Method;Communication;0;0;1;1;illustrative method to show a process in different time scales;molecular reaction, diffusion;;Vis;Illustrative animation with the support of seamless temporal zooming and visual abstraction of trajectories.;;lemuzic2015.jpg;M. Le Muzic, J. Parulek, A.K. Stavrum, and I. Viola;In this paper we propose a new type of a particle systems, tailored for illustrative visualization purposes, in particular for visualizing molecular reactions in biological networks. Previous visualizations of biochemical processes were exploiting the results of agent-based modeling. Such modeling aims at reproducing accurately the stochastic nature of molecular interactions. However, it is impossible to expect events of interest happening at a certain time and location, which is impractical for storytelling. To obtain the means of controlling molecular interactions, we propose to govern passive agents with an omniscient intelligence, instead of giving to the agents the freedom of initiating reaction autonomously. This makes it possible to generate illustrative animated stories that communicate the functioning of the molecular machinery. The rendering performance delivers for interactive framerates of massive amounts of data, based on the dynamic tessellation capabilities of modern graphics cards. Finally, we report an informal expert feedback we obtained from the potential users.;particles, illustrative animation, time lapse;
89;Lee et al.;A Survey of Modeling and Simulation of Skeletal Muscle;2009;Multiple;3;-3;-2;---;---;Organ;0;1;Physiology;Survey;Process modeling, Process simulation;1;0;0;1;direct visualization of the modeled muscle;muscle modeling;;Vis;Survey;---;---;DONGWOON LEE, MICHAEL GLUECK, AZAM KHAN, EUGENE FIUME, KEN JACKSON;Muscles provide physiological functions to drive body movement and anatomically characterize body shape, making them a crucial component of modeling animated human figures. Substantial efforts have been expended on developing computational models of muscles for the purpose of increasing realism and accuracy in a broad range of applications, including computer graphics and biomechanics. We survey various approaches that have been employed to model and simulate muscles both morphologically and functionally. Modeling the realistic morphology of muscle requires that muscle deformations be accurately depicted. To this end, several methodologies have been presented, including geometrically-based, physically-based, and data-driven approaches. On the other hand, the simulation of physiological muscle functions aims to identify the biomechanical controls responsible for realistic human motion. Estimating these muscle controls has been pursued through static and dynamic simulations. We review and discuss all these approaches, and conclude with suggestions for future research.;---;---
90;Lee, Sifakis, Terzopoulos;Comprehensive biomechanical modeling and simulation of the upper body;2009;Simulation;3;-3;-2;0;0;Organ;0;1;Physiology;Model;Process modeling,ProcessSimulation;1;0;0;1;direct visualization of simulation;upper body movement;;Graphics;Introduced highly detailed model of upper body biomechanical simulation;#NAME?;lee2009.jpg;SUNG-HEE LEE, EFTYCHIOS SIFAKIS, DEMETRI TERZOPOULOS;We introduce a comprehensive biomechanical model of the human upper body. Our model confronts the combined challenge of modeling and controlling more or less all of the relevant articular bones and muscles, as well as simulating the physics-based deformations of the soft tissues. Its dynamic skeleton comprises 68 bones with 147 jointed degrees of freedom, including those of each vertebra and most of the ribs. To be properly actuated and controlled, the skeletal submodel requires comparable attention to detail with respect to muscle modeling. We incorporate 814 muscles, each of which is modeled as a piecewise uniaxial Hill-type force actuator. To simulate biomechanically-realistic flesh deformations, we also develop a coupled finite element model with the appropriate constitutive behavior, in which are embedded the detailed 3D anatomical geometries of the hard and soft tissues. Finally, we develop an associated physics-based animation controller that computes the muscle activation signals necessary to drive the elaborate musculoskeletal system in accordance with a sequence of target poses specified by an animator.;mesh, small multiples, color coded;---
91;Lee et al.;CycleStack: Inferring periodic behavior via temporal sequence visualization in ultrasound video;2010;US;3;-3;-2;0;0;Organ;0;1;Anatomy;Method;Process analysis;0.75;0.25;0;1;visual analysis;---;Lung;Vis;by superimposing the movement of an object of interest in a video onto a signal, CycleStack allows the viewer to understand the underlying synchronism between the two, and organizes the individual plots in an aligned layout so that any deviation from the synchronism becomes evident;#NAME?;lee2010.jpg;Teng-Yok Lee_x0003_, Abon Chaudhuri, Fatih Porikli, Han-Wei Shen;A range of well-known treatment methods for destroying tumor and similar harmful growth in human body utilizes the coherence between the inherently periodic movement of the affected body part and periodic respiratory signal of the patient, with the objective of minimizing damage to surrounding normal tissues. Such methods require constant monitoring by an operator who observes the 3D body motion via its 2D projection onto an ultrasound imaging plane and studies the synchronism of this motion with the respiratory signal. Keeping an attentive eye on the respiratory signal as well as the ultrasound video for the entire treatment period is often inconvenient and burdensome. In this paper, we propose a video visualization technique called CycleStack Plot which reduces this cognitive overhead by blending the video and the signal together in a stack-like layout. This visualization reveals the inherent synchronism between the target’s movement and the respiratory signal, visually highlights significant phase shifts of either of the two cyclic phenomena, with the hope of arresting the operator’s attention. Our proposed visualization also provides a visual overview for the posttreatment analysis which enables educated users to quickly and effectively skim through the excessively long process. This paper demonstrates the utility of CycleStack Plot with a case study using real ultrasound videos. In addition, a user study has been performed to evaluate the merits and limitations of the proposed method with respect to the conventional way of watching a video and a signal side-by-side. Even though the motivation of the proposed visualization is improvement of medical applications that use ultrasound, the core techniques discussed here have potential to be extended to other application domains requiring analysis of cyclic patterns from videos.;time-cycle plot, deformation, comparative visualization;verify the benefit of CycleStack Plot by having it employed in an actual medical system
92;Lee, Karr, Covert;WholeCellViz: data visualization for whole-cell models;2013;Simulation;2;-9;-6;0;3;Molecule, Organelle, Cell;1;0;Physiology;Method;Process analysis;0;1;0;1;visual analysis of big biological data from the cell cycle model;cell cycle regulation;cell;Bioengineering;A web-based software filled with visual analysis tools to explore whole-cell simulations is WholeCellViz. The tool provides set of animations, and metabolic maps, to provide an overview of the cell simulation. Moreover comparison of different simulations is possible by juxtaposing visualizations.;;lee.karr.jpg;Ruby Lee, Jonathan R. Karr, and Markus W. Covert;Background: Whole-cell models promise to accelerate biomedical science and engineering. However, discovering new biology from whole-cell models and other high-throughput technologies requires novel tools for exploring and analyzing complex, high-dimensional data. Results: We developed WholeCellViz, a web-based software program for visually exploring and analyzing whole-cell simulations. WholeCellViz provides 14 animated visualizations, including metabolic and chromosome maps. These visualizations help researchers analyze model predictions by displaying predictions in their biological context. Furthermore, WholeCellViz enables researchers to compare predictions within and across simulations by allowing users to simultaneously display multiple visualizations. Conclusion: WholeCellViz was designed to facilitate exploration, analysis, and communication of whole-cell model data. Taken together, WholeCellViz helps researchers use whole-cell model simulations to drive advances in biology and bioengineering.;network, heatmap, space-time plot, gene coding;Additional visualization for DNA supercoiling, RNA protein maturation. Moreover plotting tools for detecting complex relationshi[s
93;Letunic et al.;iPath: interactive exploration of biochemical pathways and networks;2008;Pathway;0;---;---;---;---;Molecule;0;1;Physiology;Tool;Process analysis;1;0;0;1;visual analysis tool;pathways;;Biochemist;Online tool for visualizing and analysing metabolic pathways;#NAME?;letunic.jpg;Ivica Letunic, Takuji Yamada, Minoru Kanehisa, and Peer Bork;iPath is an open-access online tool (http://pathways.embl.de) for visualizing and analyzing metabolic pathways. An interactive viewer provides straightforward navigation through various pathways and enables easy access to the underlying chemicals and enzymes. Customized pathway maps can be generated and annotated using various external data. For example, by merging human genome data with two important gut commensals, iPath can pinpoint the complementarity of the host-symbiont metabolic capacities.;network, layout;---
